,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,6074.0,6561.0,8561.0,8496.0,7146.0,7921.0,7340.0,9979.0,12955.0,10520.0,10286.0,10864.0
Expenses,,4524.0,4381.0,4308.0,5511.0,5632.0,5029.0,5269.0,6322.0,7993.0,7497.0,7931.0,7918.0
Operating Profit,,1550.0,2180.0,4253.0,2986.0,1514.0,2891.0,2071.0,3657.0,4962.0,3024.0,2355.0,2946.0
OPM %,,26.0,33.0,50.0,35.0,21.0,36.0,28.0,37.0,38.0,29.0,23.0,27.0
Other Income,,1424.0,-400.0,-1247.0,721.0,1758.0,1092.0,1863.0,1262.0,-1062.0,1849.0,2433.0,2060.0
Interest,,150.0,188.0,169.0,205.0,390.0,820.0,981.0,784.0,756.0,643.0,562.0,514.0
Depreciation,,441.0,641.0,683.0,861.0,746.0,958.0,1232.0,1528.0,1420.0,1442.0,1368.0,1453.0
Profit before tax,,2383.0,950.0,2154.0,2641.0,2136.0,2205.0,1722.0,2606.0,1724.0,2788.0,2858.0,3039.0
Tax %,,34.0,76.0,-10.0,30.0,41.0,36.0,41.0,53.0,28.0,34.0,34.0,17.0
Net Profit,,1580.0,228.0,2369.0,1849.0,1267.0,1414.0,1010.0,1237.0,1248.0,1847.0,1900.0,2525.0
EPS in Rs,,9.42,1.36,15.5,12.09,9.14,10.2,7.29,8.92,9.0,13.32,13.7,18.21
Dividend Payout %,,30.0,221.0,47.0,37.0,50.0,69.0,34.0,17.0,39.0,23.0,22.0,21.0
Sales Growth %,Sales,2.17,8.01,30.49,-0.76,-15.89,10.84,-7.33,35.96,29.82,-18.79,-2.23,5.62
Exceptional items,Other Income,347.0,-933.0,-1927.0,60.0,-26.0,-138.0,134.0,423.0,-2317.0,943.0,1209.0,0.0
Other income normal,Other Income,1077.0,533.0,681.0,661.0,1784.0,1230.0,1730.0,838.0,1255.0,906.0,1224.0,2060.0
Exceptional items AT,Net Profit,232.0,178.0,-1762.0,42.0,-20.0,-88.0,83.0,307.0,-855.0,699.0,961.0,0.0
Profit excl Excep,Net Profit,1348.0,50.0,4131.0,1807.0,1287.0,1502.0,928.0,930.0,2103.0,1148.0,939.0,2525.0
Profit for PE,Net Profit,1348.0,50.0,4131.0,1807.0,1287.0,1502.0,928.0,930.0,2103.0,1148.0,939.0,2525.0
Profit for EPS,Net Profit,1580.0,228.0,2369.0,1849.0,1267.0,1414.0,1010.0,1237.0,1248.0,1847.0,1900.0,2525.0
Profit Growth %,Net Profit,-12.0,-96.0,8242.0,-56.0,-29.0,17.0,-38.0,0.0,126.0,-45.0,-18.0,169.0
