,parent_line_item,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2025,Mar 2026
Sales,,14282.0,18183.0,30270.0,29857.0,28499.0,31561.0,30240.0,19173.0,12027.0,12729.0,34157.0,40170.0
Expenses,,13921.0,17619.0,29545.0,29103.0,27890.0,30938.0,30127.0,19928.0,17134.0,12652.0,32201.0,38417.0
Operating Profit,,361.0,564.0,725.0,755.0,609.0,623.0,114.0,-755.0,-5107.0,77.0,1956.0,1753.0
OPM %,,3.0,3.0,2.0,3.0,2.0,2.0,0.0,-4.0,-42.0,1.0,6.0,4.0
Other Income,,207.0,189.0,343.0,448.0,320.0,252.0,99.0,150.0,36.0,116.0,132.0,-21.0
Interest,,186.0,291.0,722.0,676.0,712.0,613.0,1439.0,972.0,971.0,143.0,95.0,130.0
Depreciation,,100.0,124.0,150.0,166.0,177.0,160.0,167.0,159.0,143.0,138.0,268.0,248.0
Profit before tax,,281.0,338.0,196.0,361.0,40.0,102.0,-1393.0,-1736.0,-6186.0,-88.0,1726.0,1354.0
Tax %,,37.0,31.0,55.0,21.0,98.0,24.0,-6.0,-22.0,-7.0,0.0,25.0,-34.0
Net Profit,,178.0,234.0,88.0,283.0,0.0,73.0,-1274.0,-1363.0,-5755.0,-88.0,1301.0,1814.0
EPS in Rs,,2.22,2.26,0.87,2.73,0.0,0.8,-12.71,-13.09,-56.25,-0.1,11.97,16.68
Dividend Payout %,,9.0,7.0,12.0,4.0,3144.0,7.0,-0.0,0.0,0.0,0.0,28.0,0.0
Sales Growth %,Sales,14.34,27.32,66.47,-1.36,-4.55,10.74,-4.18,-36.6,-37.27,5.84,,17.6
Material Cost %,Expenses,89.0,88.0,89.0,91.0,90.0,92.0,93.0,87.0,85.0,86.0,82.0,87.0
Manufacturing Cost %,Expenses,4.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,7.0,7.0,5.0,0.0
Employee Cost %,Expenses,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
Other Cost %,Expenses,4.0,4.0,5.0,4.0,5.0,4.0,4.0,12.0,49.0,5.0,6.0,7.0
Profit from Associates,Net Profit,0.0,0.0,0.0,-1.0,-1.0,-5.0,0.0,-1.0,-6.0,-0.0,0.0,0.0
Minority share,Net Profit,-3.0,-9.0,-1.0,-10.0,0.0,7.0,0.0,51.0,117.0,78.0,0.0,0.0
Exceptional items AT,Net Profit,3.0,0.0,0.0,-1.0,-0.0,42.0,2.0,42.0,-1.0,-1.0,0.0,-199.0
Profit excl Excep,Net Profit,175.0,234.0,88.0,284.0,0.0,30.0,-1276.0,-1405.0,-5754.0,-87.0,1300.0,2013.0
Profit for PE,Net Profit,172.0,225.0,87.0,274.0,0.0,38.0,-1276.0,-1352.0,-5637.0,-10.0,1300.0,2013.0
Profit for EPS,Net Profit,175.0,225.0,87.0,273.0,0.0,80.0,-1274.0,-1312.0,-5638.0,-10.0,1301.0,1814.0
Profit Growth %,Net Profit,89.0,31.0,-61.0,216.0,-100.0,19679.0,-3495.0,-6.0,-317.0,100.0,,55.0
