,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,,48710.0,50804.0,48058.0,48725.0,52147.0,54918.0,81935.0,76242.0,86845.0,109065.0,124010.0,130772.0
Interest,,31343.0,34331.0,32722.0,33530.0,34656.0,36997.0,50805.0,46823.0,51817.0,68534.0,80704.0,88069.0
Expenses,,18760.0,27453.0,22533.0,43345.0,39645.0,25867.0,38601.0,36026.0,41502.0,39623.0,32743.0,33031.0
Financing Profit,,-1394.0,-10980.0,-7197.0,-28151.0,-22153.0,-7946.0,-7470.0,-6607.0,-6473.0,908.0,10563.0,9672.0
Financing Margin %,,-3.0,-22.0,-15.0,-58.0,-42.0,-14.0,-9.0,-9.0,-7.0,1.0,9.0,7.0
Other Income,,6175.0,6100.0,9168.0,8883.0,7367.0,9388.0,12777.0,12329.0,12529.0,14158.0,17560.0,20062.0
Depreciation,,384.0,413.0,430.0,581.0,584.0,614.0,982.0,896.0,905.0,906.0,958.0,1281.0
Profit before tax,,4397.0,-5293.0,1540.0,-19849.0,-15370.0,827.0,4325.0,4826.0,5151.0,14160.0,27166.0,28453.0
Tax %,,24.0,-31.0,41.0,-37.0,-35.0,56.0,38.0,19.0,35.0,35.0,32.0,35.0
Net Profit,,3525.0,-3510.0,1239.0,-12111.0,-9550.0,485.0,2695.0,3908.0,3359.0,9157.0,18553.0,18467.0
EPS in Rs,,18.33,-18.79,5.58,-43.88,-20.79,0.65,2.45,3.51,3.04,8.27,16.08,16.0
Dividend Payout %,,18.0,-2.0,0.0,0.0,0.0,0.0,0.0,18.0,21.0,18.0,18.0,19.0
Manufacturing Cost %,Expenses,0.41,0.44,0.49,0.55,0.55,0.6,0.6,0.74,0.91,0.74,0.71,0.83
Employee Cost %,Expenses,15.34,12.93,11.41,18.97,13.52,12.86,15.01,15.7,17.21,17.1,17.38,14.53
Other Cost %,Expenses,22.77,40.67,34.98,69.44,61.96,33.64,31.5,30.81,29.67,18.49,8.32,9.9
Exceptional items,Other Income,3.0,2.0,5.0,3.0,18.0,0.0,-13.0,14.0,3.0,7.0,4.0,7.0
Other income normal,Other Income,6172.0,6097.0,9162.0,8881.0,7349.0,9388.0,12790.0,12315.0,12526.0,14151.0,17556.0,20055.0
Profit from Associates,Net Profit,184.0,153.0,338.0,473.0,476.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0
Minority share,Net Profit,-126.0,-180.0,-52.0,-2.0,-20.0,-46.0,-133.0,-47.0,-10.0,-50.0,-72.0,-74.0
Exceptional items AT,Net Profit,3.0,2.0,5.0,3.0,18.0,0.0,-13.0,14.0,2.0,4.0,4.0,7.0
Profit excl Excep,Net Profit,3522.0,-3512.0,1234.0,-12114.0,-9568.0,485.0,2707.0,3893.0,3357.0,9153.0,18549.0,18460.0
Profit for PE,Net Profit,3397.0,-3692.0,1182.0,-12116.0,-9588.0,438.0,2574.0,3847.0,3347.0,9103.0,18476.0,18386.0
Profit for EPS,Net Profit,3400.0,-3690.0,1187.0,-12113.0,-9570.0,438.0,2562.0,3861.0,3348.0,9107.0,18480.0,18393.0
Profit Growth %,Net Profit,-6.0,-209.0,132.0,-1125.0,21.0,105.0,487.0,49.0,-13.0,172.0,103.0,-0.0
