,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Sales,,1618.0,1711.0,1795.0,3941.0,4562.0,4361.0,3762.0,5561.0,6867.0,7226.0,8076.0,9395.0
Expenses,,1375.0,1405.0,1495.0,3257.0,3821.0,3726.0,3225.0,4588.0,5571.0,5899.0,6608.0,7604.0
Operating Profit,,243.0,306.0,299.0,683.0,740.0,635.0,537.0,973.0,1296.0,1327.0,1468.0,1791.0
OPM %,,15.0,18.0,17.0,17.0,16.0,15.0,14.0,17.0,19.0,18.0,18.0,19.0
Other Income,,40.0,56.0,66.0,55.0,48.0,63.0,60.0,72.0,92.0,120.0,122.0,154.0
Interest,,2.0,3.0,2.0,11.0,8.0,4.0,6.0,5.0,5.0,5.0,4.0,4.0
Depreciation,,49.0,66.0,64.0,138.0,148.0,159.0,194.0,197.0,206.0,219.0,269.0,329.0
Profit before tax,,232.0,294.0,299.0,589.0,632.0,534.0,397.0,843.0,1177.0,1224.0,1317.0,1612.0
Tax %,,34.0,33.0,35.0,34.0,34.0,31.0,27.0,25.0,25.0,26.0,26.0,26.0
Net Profit,,153.0,197.0,195.0,388.0,420.0,368.0,291.0,629.0,879.0,909.0,978.0,1196.0
EPS in Rs,,18.4,23.76,23.47,46.75,26.86,23.52,18.62,40.25,56.25,58.16,62.55,76.53
Dividend Payout %,,8.0,8.0,10.0,7.0,22.0,30.0,41.0,8.0,43.0,45.0,45.0,46.0
Sales Growth %,Sales,16.43,5.72,4.89,119.59,15.76,-4.4,-13.73,47.81,23.5,5.22,11.77,16.33
Material Cost %,Expenses,62.0,58.0,60.0,60.0,63.0,63.0,62.0,62.0,62.0,62.0,62.0,60.0
Manufacturing Cost %,Expenses,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,8.0
Employee Cost %,Expenses,9.0,8.0,8.0,8.0,7.0,8.0,9.0,7.0,6.0,6.0,6.0,6.0
Other Cost %,Expenses,9.0,10.0,8.0,8.0,7.0,8.0,7.0,6.0,7.0,7.0,6.0,7.0
Exceptional items AT,Net Profit,-1.0,0.0,-1.0,-2.0,-27.0,-0.0,0.0,0.0,11.0,-2.0,0.0,-2.0
Profit excl Excep,Net Profit,154.0,197.0,196.0,391.0,447.0,368.0,291.0,629.0,868.0,911.0,977.0,1199.0
Profit for PE,Net Profit,154.0,197.0,196.0,391.0,447.0,368.0,291.0,629.0,868.0,911.0,977.0,1199.0
Profit for EPS,Net Profit,153.0,197.0,195.0,388.0,420.0,368.0,291.0,629.0,879.0,909.0,978.0,1196.0
Profit Growth %,Net Profit,26.0,29.0,-1.0,99.0,14.0,-18.0,-21.0,116.0,38.0,5.0,7.0,23.0
