,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,4482.0,4453.0,4015.0,3937.0,3566.0,2844.0,2708.0,3230.0,2651.0,2798.0,3012.0,3373.0
Expenses,,3772.0,3959.0,4002.0,3935.0,3604.0,2725.0,2771.0,2932.0,2550.0,2707.0,2619.0,2721.0
Operating Profit,,709.0,494.0,13.0,2.0,-38.0,119.0,-63.0,298.0,101.0,91.0,393.0,652.0
OPM %,,16.0,11.0,0.0,0.0,-1.0,4.0,-2.0,9.0,4.0,3.0,13.0,19.0
Other Income,,67.0,66.0,114.0,-238.0,116.0,133.0,975.0,-163.0,-172.0,17.0,62.0,26.0
Interest,,55.0,129.0,225.0,255.0,265.0,276.0,249.0,299.0,302.0,305.0,254.0,213.0
Depreciation,,145.0,142.0,149.0,150.0,164.0,224.0,246.0,247.0,251.0,223.0,217.0,227.0
Profit before tax,,575.0,289.0,-247.0,-641.0,-351.0,-247.0,417.0,-411.0,-624.0,-420.0,-16.0,238.0
Tax %,,28.0,13.0,-9.0,4.0,-38.0,-82.0,-65.0,-32.0,-0.0,12.0,256.0,16.0
Net Profit,,413.0,252.0,-226.0,-667.0,-217.0,-43.0,689.0,-279.0,-621.0,-472.0,-57.0,199.0
EPS in Rs,,28.3,17.45,-13.62,-42.3,-13.52,-4.81,47.64,-16.94,-38.8,-30.18,-2.89,13.11
Dividend Payout %,,54.0,0.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sales Growth %,Sales,-7.22,-0.63,-9.85,-1.94,-9.43,-20.24,-4.77,19.26,-17.93,5.55,7.65,11.99
Material Cost %,Expenses,33.19,36.24,41.4,45.66,45.89,42.32,41.93,39.23,41.91,41.64,37.58,33.56
Manufacturing Cost %,Expenses,7.1,7.37,7.21,5.41,6.93,7.25,8.65,8.27,8.64,8.9,9.4,0.0
Employee Cost %,Expenses,19.4,21.37,24.09,23.82,22.47,26.17,28.21,23.22,24.07,22.52,21.65,21.49
Other Cost %,Expenses,24.48,23.93,26.98,25.06,25.79,20.08,23.55,20.06,21.58,23.7,18.33,25.62
Profit from Associates,Net Profit,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minority share,Net Profit,-8.0,-2.0,30.0,59.0,22.0,-26.0,-3.0,35.0,62.0,9.0,10.0,14.0
Exceptional items AT,Net Profit,16.0,0.0,41.0,-267.0,0.0,95.0,-142.0,-168.0,-288.0,-58.0,0.0,-71.0
Profit excl Excep,Net Profit,397.0,252.0,-267.0,-399.0,-217.0,-138.0,831.0,-111.0,-333.0,-414.0,-57.0,270.0
Profit for PE,Net Profit,390.0,251.0,-231.0,-364.0,-195.0,-164.0,828.0,-97.0,-299.0,-406.0,-47.0,284.0
Profit for EPS,Net Profit,405.0,251.0,-196.0,-608.0,-195.0,-69.0,686.0,-244.0,-559.0,-463.0,-47.0,213.0
Profit Growth %,Net Profit,-51.0,-36.0,-192.0,-58.0,47.0,16.0,606.0,-112.0,-209.0,-36.0,88.0,704.0
