,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,9934.0,9376.0,11019.0,12637.0,13268.0,12548.0,11948.0
Expenses,,9113.0,8505.0,10076.0,11305.0,11890.0,11187.0,10731.0
Operating Profit,,821.0,870.0,943.0,1333.0,1377.0,1361.0,1217.0
OPM %,,8.0,9.0,9.0,11.0,10.0,11.0,10.0
Other Income,,186.0,138.0,244.0,185.0,367.0,469.0,297.0
Interest,,391.0,468.0,425.0,447.0,577.0,629.0,674.0
Depreciation,,240.0,250.0,355.0,472.0,495.0,491.0,454.0
Profit before tax,,376.0,290.0,407.0,599.0,673.0,710.0,387.0
Tax %,,34.0,42.0,12.0,31.0,33.0,31.0,35.0
Net Profit,,248.0,170.0,358.0,411.0,450.0,487.0,251.0
EPS in Rs,,34.12,23.2,49.51,57.09,13.2,13.24,6.84
Dividend Payout %,,10.0,15.0,7.0,7.0,19.0,19.0,0.0
Sales Growth %,Sales,,-5.62,17.53,14.69,4.99,-5.42,-4.78
Material Cost %,Expenses,27.0,27.0,29.0,30.0,30.0,26.0,66.0
Manufacturing Cost %,Expenses,48.0,44.0,45.0,42.0,41.0,43.0,0.0
Employee Cost %,Expenses,10.0,10.0,10.0,10.0,10.0,11.0,12.0
Other Cost %,Expenses,7.0,9.0,7.0,7.0,8.0,9.0,12.0
Exceptional items,Other Income,-11.0,-8.0,-7.0,-22.0,-12.0,-5.0,-77.0
Other income normal,Other Income,196.0,146.0,251.0,207.0,379.0,474.0,374.0
Minority share,Net Profit,-2.0,-3.0,-1.0,0.0,0.0,0.0,1.0
Exceptional items AT,Net Profit,-7.0,-5.0,-5.0,-15.0,-8.0,-3.0,-37.0
Profit excl Excep,Net Profit,255.0,175.0,362.0,426.0,458.0,490.0,288.0
Profit for PE,Net Profit,252.0,172.0,361.0,426.0,458.0,490.0,288.0
Profit for EPS,Net Profit,246.0,167.0,356.0,411.0,450.0,487.0,252.0
Profit Growth %,Net Profit,,-32.0,110.0,18.0,8.0,7.0,-41.0
