,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1060.0,1250.0,1427.0,1647.0,1755.0,1885.0,1982.0,2692.0,2838.0,3855.0,4099.0,4565.0
Expenses,,945.0,1089.0,1254.0,1427.0,1538.0,1732.0,1828.0,2435.0,2534.0,3467.0,3757.0,4130.0
Operating Profit,,115.0,161.0,173.0,219.0,216.0,153.0,154.0,257.0,304.0,388.0,342.0,435.0
OPM %,,11.0,13.0,12.0,13.0,12.0,8.0,8.0,10.0,11.0,10.0,8.0,10.0
Other Income,,11.0,13.0,8.0,6.0,10.0,10.0,22.0,28.0,30.0,232.0,56.0,73.0
Interest,,39.0,35.0,27.0,25.0,19.0,35.0,43.0,44.0,33.0,48.0,58.0,50.0
Depreciation,,21.0,20.0,24.0,26.0,28.0,32.0,30.0,34.0,39.0,67.0,67.0,98.0
Profit before tax,,67.0,119.0,131.0,175.0,179.0,97.0,103.0,208.0,262.0,504.0,273.0,359.0
Tax %,,4.0,29.0,34.0,34.0,35.0,33.0,25.0,26.0,26.0,26.0,26.0,26.0
Net Profit,,64.0,84.0,86.0,115.0,117.0,64.0,77.0,155.0,194.0,375.0,202.0,266.0
EPS in Rs,,9.56,12.6,12.84,17.23,17.51,9.61,11.52,23.17,28.96,55.96,30.17,39.69
Dividend Payout %,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0
Sales Growth %,Sales,10.34,17.89,14.16,15.43,6.57,7.42,5.16,35.83,5.42,35.83,6.31,11.38
Material Cost %,Expenses,51.06,48.57,50.91,45.91,44.15,47.7,45.93,45.88,47.94,47.69,43.8,48.11
Manufacturing Cost %,Expenses,22.47,22.99,24.29,30.84,32.95,32.28,34.34,35.99,32.83,33.52,37.45,0.0
Employee Cost %,Expenses,14.16,13.05,10.77,8.13,8.17,8.19,7.75,6.98,7.05,7.33,8.58,9.64
Other Cost %,Expenses,1.46,2.51,1.9,1.8,2.39,3.71,4.2,1.6,1.47,1.4,1.82,32.73
Exceptional items,Other Income,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-1.0,1.0,196.0,0.0,0.0
Other income normal,Other Income,11.0,13.0,8.0,6.0,10.0,10.0,22.0,29.0,28.0,36.0,55.0,73.0
Exceptional items AT,Net Profit,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,143.0,0.0,0.0
Profit excl Excep,Net Profit,64.0,84.0,86.0,115.0,117.0,64.0,77.0,156.0,193.0,231.0,202.0,266.0
Profit for PE,Net Profit,64.0,84.0,86.0,115.0,117.0,64.0,77.0,156.0,193.0,231.0,202.0,266.0
Profit for EPS,Net Profit,64.0,84.0,86.0,115.0,117.0,64.0,77.0,155.0,194.0,375.0,202.0,266.0
Profit Growth %,Net Profit,2323.0,32.0,2.0,34.0,2.0,-45.0,20.0,102.0,24.0,20.0,-13.0,32.0
