,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,280.0,336.0,273.0,424.0,559.0,752.0,980.0,1253.0
Expenses,,179.0,225.0,196.0,240.0,310.0,421.0,539.0,667.0
Operating Profit,,102.0,110.0,77.0,184.0,249.0,331.0,441.0,586.0
OPM %,,36.0,33.0,28.0,43.0,45.0,44.0,45.0,47.0
Other Income,,4.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0
Interest,,6.0,3.0,3.0,2.0,4.0,6.0,12.0,16.0
Depreciation,,16.0,21.0,18.0,16.0,17.0,19.0,25.0,34.0
Profit before tax,,83.0,87.0,63.0,168.0,228.0,306.0,405.0,536.0
Tax %,,30.0,29.0,29.0,24.0,26.0,26.0,26.0,26.0
Net Profit,,58.0,62.0,45.0,127.0,169.0,226.0,301.0,397.0
EPS in Rs,,5.5,5.67,4.06,7.6,10.1,13.44,18.06,23.83
Dividend Payout %,,0.0,0.0,31.0,36.0,30.0,26.0,39.0,27.0
Sales Growth %,Sales,,19.7,-18.61,55.31,31.75,34.54,30.34,27.87
Manufacturing Cost %,Expenses,2.19,2.93,3.36,2.14,1.74,2.07,1.73,1.57
Employee Cost %,Expenses,47.18,49.66,55.23,45.32,43.3,42.89,42.88,42.31
Other Cost %,Expenses,14.38,14.49,13.08,9.17,10.42,10.97,10.38,9.37
Exceptional items,Other Income,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.55
Other income normal,Other Income,3.86,0.86,6.14,0.81,0.08,0.14,0.71,-0.22
Minority share,Net Profit,1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-2.0
Exceptional items AT,Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit excl Excep,Net Profit,58.0,62.0,45.0,126.0,169.0,226.0,301.0,397.0
Profit for PE,Net Profit,59.0,61.0,45.0,126.0,168.0,225.0,300.0,395.0
Profit for EPS,Net Profit,59.0,61.0,45.0,126.0,168.0,225.0,300.0,396.0
Profit Growth %,Net Profit,,4.0,-27.0,183.0,34.0,34.0,33.0,32.0
