,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,633.0,1103.0,1231.0,1057.0,1419.0,1845.0,2124.0
Expenses,,451.0,695.0,666.0,626.0,914.0,1173.0,1290.0
Operating Profit,,182.0,408.0,565.0,431.0,506.0,672.0,834.0
OPM %,,29.0,37.0,46.0,41.0,36.0,36.0,39.0
Other Income,,21.0,37.0,49.0,139.0,63.0,85.0,131.0
Interest,,20.0,17.0,10.0,9.0,10.0,11.0,7.0
Depreciation,,62.0,62.0,58.0,64.0,82.0,89.0,134.0
Profit before tax,,121.0,366.0,546.0,497.0,477.0,657.0,824.0
Tax %,,23.0,26.0,26.0,23.0,23.0,31.0,28.0
Net Profit,,93.0,271.0,406.0,385.0,367.0,451.0,592.0
EPS in Rs,,110.62,319.74,462.09,6.75,6.57,8.07,10.54
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Sales Growth %,Sales,,74.36,11.6,-14.16,34.29,29.96,15.17
Material Cost %,Expenses,38.95,40.52,33.21,32.1,42.24,40.33,38.24
Manufacturing Cost %,Expenses,7.09,5.17,4.85,5.69,4.39,4.87,4.9
Employee Cost %,Expenses,18.99,12.89,11.17,14.5,12.89,14.12,13.31
Other Cost %,Expenses,6.22,4.46,4.86,6.95,4.86,4.28,4.3
Exceptional items,Other Income,0.0,-0.0,-0.0,54.0,-0.0,-0.0,-22.0
Other income normal,Other Income,21.0,37.0,49.0,85.0,64.0,86.0,153.0
Exceptional items AT,Net Profit,0.0,-0.0,-0.0,41.0,-0.0,-0.0,-16.0
Profit excl Excep,Net Profit,93.0,271.0,406.0,344.0,368.0,452.0,607.0
Profit for PE,Net Profit,93.0,271.0,406.0,344.0,368.0,452.0,607.0
Profit for EPS,Net Profit,93.0,271.0,406.0,385.0,367.0,451.0,592.0
Profit Growth %,Net Profit,,193.0,49.0,-15.0,7.0,23.0,35.0
