,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1292.0,4219.0,4644.0,3614.0,2201.0,3056.0,4069.0,4259.0,4620.0,5266.0
Expenses,,1218.0,3977.0,4350.0,3351.0,2205.0,2864.0,3630.0,3734.0,4004.0,4562.0
Operating Profit,,74.0,242.0,294.0,263.0,-4.0,192.0,440.0,525.0,616.0,705.0
OPM %,,6.0,6.0,6.0,7.0,-0.0,6.0,11.0,12.0,13.0,13.0
Other Income,,2.0,5.0,4.0,-41.0,-20.0,-67.0,26.0,56.0,33.0,16.0
Interest,,34.0,96.0,131.0,278.0,228.0,135.0,135.0,156.0,170.0,170.0
Depreciation,,43.0,139.0,153.0,421.0,303.0,233.0,203.0,230.0,256.0,290.0
Profit before tax,,-1.0,12.0,13.0,-477.0,-554.0,-242.0,127.0,194.0,224.0,261.0
Tax %,,-1310.0,-12.0,-67.0,-16.0,8.0,-2.0,32.0,29.0,85.0,30.0
Net Profit,,15.0,13.0,21.0,-399.0,-596.0,-237.0,87.0,137.0,33.0,184.0
EPS in Rs,,1.48,-35.31,-51.08,-20.19,2.76,6.06,-2.67,9.17,,
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,36.0,21.0,-60.0,17.0
Sales Growth %,Sales,,226.49,10.07,-22.19,-39.09,38.84,33.16,4.66,8.47,13.99
Material Cost %,Expenses,53.85,46.91,49.28,55.13,58.47,55.95,50.78,47.83,46.53,45.62
Manufacturing Cost %,Expenses,18.22,16.16,9.86,11.35,12.23,11.74,10.58,10.82,11.41,0.0
Employee Cost %,Expenses,8.63,8.7,8.78,8.67,10.41,7.75,6.01,6.13,5.84,6.11
Other Cost %,Expenses,13.59,22.51,25.75,17.57,19.07,18.28,21.82,22.9,22.89,34.89
Exceptional items,Other Income,-0.3,-7.62,-0.43,-46.17,-122.26,-128.65,-24.65,22.0,-1.12,-24.53
Other income normal,Other Income,2.36,12.45,4.06,5.38,102.69,61.83,50.33,33.74,34.34,40.79
Minority share,Net Profit,0.0,2.0,-5.0,-2.0,16.0,-31.0,-50.0,-56.0,-69.0,-61.0
Exceptional items AT,Net Profit,-0.0,9.0,0.0,-7.0,-18.0,4.0,-2.0,-6.0,0.0,-18.0
Profit excl Excep,Net Profit,15.0,4.0,21.0,-392.0,-578.0,-241.0,89.0,143.0,33.0,201.0
Profit for PE,Net Profit,15.0,5.0,16.0,-394.0,-562.0,-271.0,37.0,84.0,-36.0,134.0
Profit for EPS,Net Profit,15.0,14.0,17.0,-401.0,-580.0,-267.0,37.0,81.0,-36.0,123.0
Profit Growth %,Net Profit,,-66.0,219.0,-2503.0,-43.0,52.0,114.0,125.0,-142.0,477.0
