,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1753.0,1775.0,833.0,794.0,622.0,334.0,1148.0,1278.0,1831.0,2654.0,2739.0,5237.0
Expenses,,1483.0,1535.0,794.0,790.0,626.0,380.0,1026.0,1176.0,1653.0,2401.0,2362.0,4682.0
Operating Profit,,270.0,240.0,39.0,4.0,-4.0,-45.0,122.0,102.0,178.0,252.0,377.0,555.0
OPM %,,15.0,14.0,5.0,1.0,-1.0,-14.0,11.0,8.0,10.0,10.0,14.0,11.0
Other Income,,-225.0,24.0,25.0,20.0,-265.0,487.0,93.0,112.0,102.0,211.0,101.0,140.0
Interest,,20.0,22.0,17.0,19.0,20.0,31.0,60.0,58.0,68.0,76.0,96.0,118.0
Depreciation,,35.0,44.0,48.0,39.0,33.0,28.0,45.0,58.0,73.0,79.0,78.0,133.0
Profit before tax,,-9.0,198.0,-1.0,-33.0,-322.0,382.0,110.0,98.0,139.0,309.0,304.0,445.0
Tax %,,315.0,23.0,1502.0,36.0,2.0,-0.0,21.0,12.0,21.0,9.0,5.0,6.0
Net Profit,,-36.0,162.0,-19.0,-45.0,-327.0,383.0,87.0,87.0,110.0,282.0,289.0,416.0
EPS in Rs,,-4.19,18.66,-2.17,-5.19,-38.05,44.57,10.06,9.46,12.79,31.37,30.97,42.02
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,0.0
Sales Growth %,Sales,62.0,1.0,-53.0,-5.0,-22.0,-46.0,243.0,11.0,43.0,45.0,3.0,91.0
Material Cost %,Expenses,15.0,22.0,34.0,39.0,42.0,46.0,25.0,26.0,24.0,18.0,17.0,27.0
Manufacturing Cost %,Expenses,15.0,6.0,4.0,14.0,15.0,24.0,14.0,17.0,15.0,11.0,12.0,0.0
Employee Cost %,Expenses,4.0,4.0,9.0,9.0,10.0,12.0,7.0,8.0,6.0,5.0,6.0,3.0
Other Cost %,Expenses,50.0,54.0,48.0,37.0,34.0,32.0,42.0,41.0,46.0,57.0,51.0,60.0
Exceptional items,Other Income,-231.0,16.0,-3.0,-14.0,-291.0,462.0,21.0,17.0,-2.0,100.0,1.0,-5.0
Other income normal,Other Income,6.0,8.0,28.0,35.0,27.0,25.0,72.0,95.0,104.0,111.0,100.0,145.0
Profit from Associates,Net Profit,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minority share,Net Profit,0.0,0.0,0.0,0.0,-4.0,4.0,0.0,-0.0,7.0,5.0,7.0,-15.0
Exceptional items AT,Net Profit,-201.0,12.0,46.0,-7.0,-285.0,461.0,20.0,15.0,-2.0,88.0,1.0,-4.0
Profit excl Excep,Net Profit,165.0,150.0,-65.0,-38.0,-42.0,-78.0,68.0,72.0,111.0,194.0,288.0,421.0
Profit for PE,Net Profit,165.0,150.0,-65.0,-38.0,-46.0,-73.0,68.0,72.0,119.0,199.0,295.0,406.0
Profit for EPS,Net Profit,-36.0,162.0,-19.0,-45.0,-331.0,388.0,87.0,87.0,117.0,287.0,296.0,401.0
Profit Growth %,Net Profit,-5.0,-9.0,-143.0,42.0,-22.0,-59.0,192.0,6.0,66.0,68.0,48.0,38.0
