,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,13615.0,14271.0,15062.0,16825.0,19240.0,20211.0,21713.0,29101.0,34489.0,35495.0,33906.0,35584.0
Expenses,,11372.0,11546.0,12068.0,13621.0,15475.0,16049.0,16857.0,24298.0,28229.0,27910.0,27899.0,28884.0
Operating Profit,,2243.0,2725.0,2994.0,3204.0,3765.0,4162.0,4856.0,4804.0,6260.0,7585.0,6006.0,6700.0
OPM %,,16.0,19.0,20.0,19.0,20.0,21.0,22.0,17.0,18.0,21.0,18.0,19.0
Other Income,,142.0,213.0,338.0,336.0,274.0,350.0,332.0,296.0,431.0,821.0,350.0,728.0
Interest,,42.0,49.0,37.0,41.0,110.0,102.0,92.0,95.0,144.0,205.0,227.0,195.0
Depreciation,,266.0,276.0,335.0,360.0,622.0,780.0,791.0,816.0,858.0,853.0,1026.0,1229.0
Profit before tax,,2077.0,2614.0,2960.0,3138.0,3306.0,3629.0,4304.0,4188.0,5689.0,7348.0,5103.0,6003.0
Tax %,,31.0,32.0,32.0,33.0,33.0,24.0,26.0,26.0,26.0,24.0,27.0,27.0
Net Profit,,1427.0,1803.0,2016.0,2098.0,2208.0,2774.0,3207.0,3085.0,4195.0,5558.0,3710.0,4395.0
EPS in Rs,,14.54,18.19,20.22,21.26,22.48,28.2,32.73,31.59,42.81,56.92,38.23,45.09
Dividend Payout %,,42.0,41.0,51.0,41.0,47.0,43.0,55.0,61.0,60.0,58.0,65.0,61.0
Sales Growth %,Sales,11.41,4.82,5.54,11.7,14.36,5.05,7.43,34.03,18.51,2.92,-4.48,4.95
Material Cost %,Expenses,49.41,47.43,45.97,49.16,50.32,48.21,47.59,54.29,54.15,50.08,51.02,49.87
Manufacturing Cost %,Expenses,12.01,11.56,11.74,10.71,10.3,10.11,9.92,10.3,8.86,8.17,8.36,8.25
Employee Cost %,Expenses,6.88,6.97,6.9,6.67,6.46,6.78,7.13,6.17,5.9,6.58,7.69,7.9
Other Cost %,Expenses,15.23,14.94,15.51,14.42,13.35,14.31,13.0,12.74,12.94,13.8,15.21,15.16
Exceptional items,Other Income,7.0,20.0,1.0,0.0,14.0,9.0,18.0,-71.0,-37.0,2.0,-360.0,-161.0
Other income normal,Other Income,135.0,194.0,337.0,336.0,260.0,341.0,313.0,367.0,469.0,819.0,710.0,889.0
Profit from Associates,Net Profit,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minority share,Net Profit,-32.0,-58.0,-77.0,-59.0,-52.0,-69.0,-67.0,-54.0,-89.0,-97.0,-42.0,-69.0
Exceptional items AT,Net Profit,5.0,13.0,1.0,0.0,9.0,10.0,14.0,-52.0,-27.0,2.0,-261.0,-119.0
Profit excl Excep,Net Profit,1423.0,1789.0,2015.0,2097.0,2199.0,2764.0,3193.0,3136.0,4223.0,5556.0,3970.0,4514.0
Profit for PE,Net Profit,1391.0,1732.0,1939.0,2039.0,2147.0,2695.0,3126.0,3081.0,4133.0,5459.0,3925.0,4442.0
Profit for EPS,Net Profit,1395.0,1745.0,1939.0,2039.0,2156.0,2705.0,3139.0,3031.0,4106.0,5460.0,3667.0,4325.0
Profit Growth %,Net Profit,15.0,25.0,12.0,5.0,5.0,26.0,16.0,-1.0,34.0,32.0,-28.0,13.0
