,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,2535.0,2454.0,2695.0,3107.0,3916.0,3906.0,3512.0,4993.0,5062.0,4358.0,5075.0,5564.0
Expenses,,2159.0,2012.0,2224.0,2635.0,3178.0,3061.0,2665.0,4128.0,4334.0,3794.0,4361.0,4783.0
Operating Profit,,376.0,443.0,470.0,473.0,738.0,845.0,847.0,865.0,728.0,564.0,714.0,781.0
OPM %,,15.0,18.0,17.0,15.0,19.0,22.0,24.0,17.0,14.0,13.0,14.0,14.0
Other Income,,15.0,45.0,42.0,38.0,30.0,77.0,103.0,88.0,167.0,132.0,129.0,199.0
Interest,,24.0,26.0,21.0,9.0,4.0,2.0,2.0,3.0,2.0,2.0,6.0,4.0
Depreciation,,55.0,62.0,91.0,105.0,112.0,117.0,120.0,146.0,163.0,184.0,213.0,216.0
Profit before tax,,312.0,400.0,401.0,397.0,652.0,803.0,828.0,804.0,730.0,510.0,623.0,760.0
Tax %,,30.0,31.0,29.0,32.0,34.0,20.0,24.0,24.0,24.0,25.0,27.0,22.0
Net Profit,,217.0,274.0,285.0,270.0,429.0,640.0,631.0,608.0,552.0,385.0,456.0,595.0
EPS in Rs,,73.3,92.53,96.18,91.16,144.51,215.82,213.23,205.34,187.08,130.62,154.98,202.11
Dividend Payout %,,12.0,11.0,10.0,13.0,10.0,13.0,9.0,12.0,17.0,15.0,16.0,15.0
Sales Growth %,Sales,8.19,-3.18,9.78,15.33,26.01,-0.26,-10.07,42.15,1.38,-13.91,16.45,9.63
Exceptional items,Other Income,1.0,3.0,4.0,0.0,3.0,14.0,23.0,21.0,-22.0,-2.0,-4.0,0.0
Other income normal,Other Income,14.0,42.0,39.0,38.0,27.0,63.0,80.0,67.0,189.0,135.0,133.0,199.0
Exceptional items AT,Net Profit,0.0,2.0,2.0,0.0,2.0,10.0,17.0,16.0,-17.0,-2.0,-3.0,0.0
Profit excl Excep,Net Profit,217.0,272.0,283.0,270.0,427.0,630.0,613.0,591.0,569.0,386.0,459.0,595.0
Profit for PE,Net Profit,217.0,272.0,283.0,270.0,427.0,630.0,613.0,591.0,569.0,386.0,459.0,595.0
Profit for EPS,Net Profit,217.0,274.0,285.0,270.0,429.0,640.0,631.0,608.0,552.0,385.0,456.0,595.0
Profit Growth %,Net Profit,2.0,26.0,4.0,-4.0,58.0,47.0,-3.0,-4.0,-4.0,-32.0,19.0,30.0
