,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,737.0,710.0,493.0,418.0,522.0,470.0,374.0,505.0,659.0,887.0,1173.0,1411.0
Expenses,,612.0,607.0,447.0,340.0,401.0,380.0,290.0,394.0,515.0,694.0,931.0,1129.0
Operating Profit,,125.0,103.0,46.0,79.0,121.0,90.0,84.0,111.0,145.0,193.0,242.0,282.0
OPM %,,17.0,14.0,9.0,19.0,23.0,19.0,22.0,22.0,22.0,22.0,21.0,20.0
Other Income,,-205.0,-1.0,46.0,82.0,-2.0,2.0,-118.0,5.0,4.0,9.0,20.0,20.0
Interest,,23.0,23.0,16.0,13.0,12.0,18.0,16.0,8.0,11.0,13.0,7.0,10.0
Depreciation,,38.0,17.0,30.0,32.0,31.0,40.0,139.0,14.0,16.0,21.0,30.0,39.0
Profit before tax,,-141.0,62.0,46.0,116.0,76.0,34.0,-189.0,95.0,122.0,169.0,225.0,252.0
Tax %,,2.0,12.0,8.0,1.0,20.0,8.0,2.0,20.0,17.0,15.0,16.0,16.0
Net Profit,,-144.0,55.0,42.0,114.0,61.0,32.0,-192.0,76.0,102.0,143.0,188.0,212.0
EPS in Rs,,-36.21,12.34,10.26,18.76,12.04,7.0,-26.74,15.5,21.34,27.43,33.72,37.88
Dividend Payout %,,-4.0,12.0,5.0,5.0,8.0,0.0,0.0,8.0,6.0,4.0,10.0,10.0
Sales Growth %,Sales,13.59,-3.59,-30.61,-15.11,24.78,-10.03,-20.38,35.02,30.56,34.6,32.17,20.3
Material Cost %,Expenses,1.01,-0.08,-0.45,-1.63,-2.58,1.63,0.17,0.99,-1.06,-0.56,0.01,0.01
Manufacturing Cost %,Expenses,37.02,34.9,36.61,31.92,38.15,39.32,29.72,36.43,39.62,34.97,35.19,0.0
Employee Cost %,Expenses,36.63,42.67,42.51,41.65,31.39,31.76,40.05,34.84,33.3,37.67,37.71,41.74
Other Cost %,Expenses,8.37,8.03,12.01,9.27,9.92,8.13,7.59,5.67,6.2,6.12,6.48,38.24
Exceptional items,Other Income,-222.88,-1.49,27.64,1.39,-9.95,-8.02,-120.91,-0.09,0.0,0.26,0.0,-9.76
Other income normal,Other Income,17.46,0.83,18.08,80.65,7.74,10.2,2.97,5.1,4.33,8.79,20.17,29.33
Minority share,Net Profit,0.0,-1.0,3.0,-26.0,-4.0,0.0,70.0,-5.0,-5.0,-2.0,-2.0,-2.0
Exceptional items AT,Net Profit,-217.0,-1.0,26.0,1.0,-8.0,-5.0,-45.0,-0.0,0.0,0.0,0.0,-9.0
Profit excl Excep,Net Profit,74.0,56.0,16.0,113.0,69.0,37.0,-147.0,76.0,102.0,143.0,188.0,220.0
Profit for PE,Net Profit,73.0,56.0,19.0,88.0,64.0,37.0,-94.0,71.0,97.0,141.0,186.0,218.0
Profit for EPS,Net Profit,-144.0,54.0,45.0,89.0,57.0,32.0,-122.0,71.0,97.0,141.0,186.0,209.0
Profit Growth %,Net Profit,26.0,-24.0,-65.0,356.0,-27.0,-43.0,-355.0,176.0,38.0,45.0,32.0,17.0
