,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,524.0,470.0,842.0,420.0,431.0,435.0,457.0,484.0,522.0,1702.0,739.0,1070.0
Expenses,,40.0,42.0,215.0,65.0,85.0,134.0,106.0,117.0,142.0,140.0,180.0,162.0
Operating Profit,,484.0,429.0,628.0,355.0,347.0,301.0,352.0,367.0,380.0,1562.0,559.0,907.0
OPM %,,92.0,91.0,75.0,85.0,80.0,69.0,77.0,76.0,73.0,92.0,76.0,85.0
Other Income,,35.0,7.0,8.0,2390.0,2827.0,3058.0,3451.0,3896.0,4673.0,5967.0,6224.0,9182.0
Interest,,0.0,0.0,0.0,0.0,0.0,13.0,4.0,3.0,7.0,2.0,1.0,1.0
Depreciation,,6.0,5.0,5.0,5.0,4.0,33.0,34.0,34.0,34.0,34.0,34.0,32.0
Profit before tax,,513.0,430.0,630.0,2739.0,3170.0,3314.0,3766.0,4226.0,5012.0,7493.0,6748.0,10057.0
Tax %,,19.0,21.0,21.0,3.0,4.0,7.0,3.0,2.0,1.0,2.0,2.0,3.0
Net Profit,,2029.0,2265.0,2473.0,2655.0,3048.0,3080.0,3654.0,4126.0,4946.0,7365.0,6626.0,9789.0
EPS in Rs,,182.33,203.54,222.22,238.54,273.9,268.84,327.95,364.41,435.83,652.98,585.9,865.89
Dividend Payout %,,19.0,16.0,15.0,17.0,12.0,15.0,12.0,32.0,28.0,20.0,16.0,23.0
Sales Growth %,Sales,23.8,-10.27,79.18,-50.18,2.77,0.96,5.0,5.95,7.7,226.26,-56.57,44.69
Material Cost %,Expenses,0.16,0.24,0.11,0.0,0.0,1.76,1.78,1.55,1.84,0.32,0.43,0.0
Manufacturing Cost %,Expenses,0.34,0.38,0.22,0.35,0.39,2.28,1.13,1.24,1.31,0.66,1.16,0.0
Employee Cost %,Expenses,1.66,3.74,2.71,6.07,7.49,11.25,10.23,9.89,10.29,3.37,9.21,3.64
Other Cost %,Expenses,5.41,4.49,22.44,8.97,11.73,15.48,9.95,11.56,13.79,3.89,13.54,11.53
Exceptional items,Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,1522.0
Other income normal,Other Income,35.0,7.0,8.0,2390.0,2827.0,3058.0,3451.0,3896.0,4673.0,5967.0,6139.0,7660.0
Profit from Associates,Net Profit,1615.0,1924.0,1978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minority share,Net Profit,0.0,0.0,0.0,0.0,0.0,-88.0,-4.0,-70.0,-96.0,-98.0,-105.0,-152.0
Exceptional items AT,Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,1480.0
Profit excl Excep,Net Profit,2029.0,2265.0,2473.0,2655.0,3048.0,3080.0,3654.0,4126.0,4946.0,7365.0,6543.0,8309.0
Profit for PE,Net Profit,2029.0,2265.0,2473.0,2655.0,3048.0,2992.0,3650.0,4056.0,4851.0,7267.0,6440.0,8180.0
Profit for EPS,Net Profit,2029.0,2265.0,2473.0,2655.0,3048.0,2992.0,3650.0,4056.0,4851.0,7267.0,6521.0,9637.0
Profit Growth %,Net Profit,2.0,12.0,9.0,7.0,15.0,-2.0,22.0,11.0,20.0,50.0,-11.0,27.0
