,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,3210.0,3268.0,4348.0,5730.0,6549.0,6916.0,6785.0,7461.0,8682.0,9656.0,9214.0,9656.0
Expenses,,2908.0,2982.0,3724.0,4922.0,5600.0,5569.0,5434.0,6351.0,7898.0,8216.0,7994.0,8201.0
Operating Profit,,302.0,286.0,624.0,808.0,949.0,1347.0,1352.0,1110.0,785.0,1440.0,1221.0,1455.0
OPM %,,9.0,9.0,14.0,14.0,14.0,19.0,20.0,15.0,9.0,15.0,13.0,15.0
Other Income,,143.0,146.0,139.0,62.0,78.0,74.0,28.0,67.0,107.0,90.0,56.0,110.0
Interest,,78.0,82.0,277.0,378.0,371.0,388.0,296.0,243.0,339.0,372.0,327.0,264.0
Depreciation,,154.0,149.0,256.0,332.0,339.0,352.0,371.0,397.0,510.0,578.0,572.0,532.0
Profit before tax,,213.0,201.0,230.0,160.0,317.0,682.0,713.0,538.0,43.0,580.0,378.0,769.0
Tax %,,18.0,17.0,5.0,4.0,19.0,26.0,12.0,26.0,6.0,27.0,22.0,27.0
Net Profit,,175.0,168.0,219.0,154.0,256.0,505.0,630.0,399.0,40.0,421.0,295.0,558.0
EPS in Rs,,22.76,21.78,28.5,19.99,33.2,65.6,81.83,51.76,5.26,54.61,38.34,72.41
Dividend Payout %,,26.0,28.0,23.0,33.0,23.0,11.0,12.0,19.0,48.0,18.0,26.0,17.0
Sales Growth %,Sales,6.42,1.82,33.03,31.79,14.29,5.6,-1.88,9.96,16.37,11.22,-4.57,4.79
Material Cost %,Expenses,14.69,18.48,15.62,14.55,14.38,13.29,14.55,14.12,12.6,16.37,15.03,15.36
Manufacturing Cost %,Expenses,46.06,41.5,39.33,38.72,39.51,36.36,34.97,39.78,46.49,37.07,37.24,36.45
Employee Cost %,Expenses,7.05,7.49,7.06,6.25,5.68,5.91,6.17,6.36,6.07,5.84,6.18,6.12
Other Cost %,Expenses,22.79,23.78,23.64,26.38,25.95,24.95,24.4,24.86,25.8,25.8,28.31,27.0
Exceptional items,Other Income,64.0,12.0,67.0,-10.0,8.0,-8.0,-72.0,-29.0,-6.0,4.0,-42.0,-7.0
Other income normal,Other Income,79.0,134.0,72.0,71.0,71.0,82.0,100.0,96.0,113.0,86.0,98.0,117.0
Minority share,Net Profit,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exceptional items AT,Net Profit,47.0,7.0,52.0,-7.0,6.0,-6.0,-58.0,-21.0,-3.0,3.0,-32.0,-5.0
Profit excl Excep,Net Profit,129.0,160.0,168.0,161.0,250.0,511.0,689.0,420.0,44.0,417.0,328.0,563.0
Profit for PE,Net Profit,129.0,160.0,168.0,161.0,250.0,511.0,689.0,420.0,44.0,417.0,328.0,563.0
Profit for EPS,Net Profit,175.0,168.0,219.0,154.0,256.0,505.0,630.0,399.0,40.0,421.0,295.0,558.0
Profit Growth %,Net Profit,12.0,25.0,5.0,-4.0,55.0,104.0,35.0,-39.0,-90.0,855.0,-21.0,72.0
