,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,3182.0,3798.0,4385.0,4639.0,5235.0,5360.0,4264.0,6064.0,7977.0,9685.0,11968.0,12402.0
Expenses,,3014.0,3631.0,4162.0,4372.0,4887.0,5077.0,4024.0,5717.0,7478.0,9017.0,11089.0,11469.0
Operating Profit,,168.0,167.0,223.0,266.0,348.0,283.0,240.0,347.0,500.0,669.0,879.0,933.0
OPM %,,5.0,4.4,5.0,6.0,7.0,5.0,6.0,6.0,6.0,7.0,7.0,8.0
Other Income,,-34.0,66.0,34.0,22.0,26.0,40.0,62.0,36.0,195.0,44.0,83.0,21.0
Interest,,49.0,43.0,38.0,29.0,48.0,29.0,65.0,46.0,55.0,58.0,49.0,72.0
Depreciation,,43.0,57.0,61.0,64.0,75.0,88.0,92.0,86.0,85.0,98.0,128.0,179.0
Profit before tax,,43.0,132.0,159.0,196.0,251.0,206.0,145.0,251.0,555.0,557.0,785.0,703.0
Tax %,,-18.0,21.0,23.0,25.0,17.0,32.0,32.0,33.0,28.0,26.0,25.0,25.0
Net Profit,,54.0,106.0,123.0,144.0,190.0,144.0,101.0,168.0,401.0,414.0,591.0,527.0
EPS in Rs,,3.01,5.82,6.44,7.5,9.87,7.44,5.21,8.71,20.79,20.18,28.75,25.66
Dividend Payout %,,83.0,56.0,58.0,67.0,51.0,67.0,38.0,57.0,29.0,35.0,31.0,33.0
Sales Growth %,Sales,8.44,19.36,15.46,5.79,12.85,2.39,-20.46,42.23,31.55,21.41,23.56,3.63
Material Cost %,Expenses,69.59,49.33,51.29,52.79,50.81,51.08,52.88,55.16,51.44,49.93,49.93,48.8
Manufacturing Cost %,Expenses,6.64,24.98,25.65,22.93,25.31,24.92,24.9,23.86,27.2,27.48,27.12,29.43
Employee Cost %,Expenses,8.6,11.0,7.74,8.57,8.05,9.04,8.96,8.39,7.42,7.74,7.68,7.4
Other Cost %,Expenses,9.88,10.3,10.23,9.96,9.17,9.68,7.64,6.87,7.67,7.94,7.93,6.85
Exceptional items,Other Income,-42.0,-7.0,0.0,5.0,1.0,-2.0,38.0,2.0,164.0,-4.0,8.0,-42.0
Other income normal,Other Income,8.0,73.0,33.0,17.0,25.0,43.0,24.0,34.0,31.0,48.0,75.0,62.0
Profit from Associates,Net Profit,4.0,1.0,1.0,-2.0,-19.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
Minority share,Net Profit,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,0.0
Exceptional items AT,Net Profit,-41.0,-5.0,0.0,3.0,1.0,-2.0,26.0,1.0,118.0,-3.0,10.0,-31.0
Profit excl Excep,Net Profit,95.0,111.0,123.0,141.0,190.0,145.0,75.0,167.0,282.0,417.0,581.0,558.0
Profit for PE,Net Profit,95.0,110.0,123.0,141.0,189.0,145.0,75.0,166.0,282.0,418.0,581.0,559.0
Profit for EPS,Net Profit,54.0,105.0,123.0,144.0,190.0,143.0,100.0,168.0,400.0,415.0,591.0,528.0
Profit Growth %,Net Profit,24.0,15.0,12.0,14.0,35.0,-23.0,-48.0,123.0,70.0,48.0,39.0,-4.0
