,parent_line_item,Mar 2025,Mar 2026
Sales,,1770.0,2436.0
Expenses,,1694.0,2052.0
Operating Profit,,76.0,384.0
OPM %,,4.3,16.0
Other Income,,58.0,50.0
Interest,,208.0,210.0
Depreciation,,147.0,210.0
Profit before tax,,-222.0,13.0
Tax %,,0.0,0.0
Net Profit,,-222.0,13.0
EPS in Rs,,-62.91,0.97
Dividend Payout %,,0.0,0.0
Sales Growth %,Sales,,37.65
Material Cost %,Expenses,62.0,57.0
Manufacturing Cost %,Expenses,9.0,0.0
Employee Cost %,Expenses,11.0,12.0
Other Cost %,Expenses,14.0,15.0
Exceptional items,Other Income,1.98,0.0
Other income normal,Other Income,56.1,49.58
Minority share,Net Profit,0.0,2.0
Exceptional items AT,Net Profit,2.0,0.0
Profit excl Excep,Net Profit,-224.0,13.0
Profit for PE,Net Profit,-224.0,15.0
Profit for EPS,Net Profit,-222.0,15.0
Profit Growth %,Net Profit,,107.0
