,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,584.0,635.0,572.0,676.0,652.0,609.0,630.0,841.0,925.0,1568.0,3212.0,5124.0
Expenses,,293.0,392.0,381.0,401.0,434.0,482.0,429.0,489.0,609.0,857.0,1336.0,1644.0
Operating Profit,,290.0,243.0,190.0,274.0,219.0,127.0,202.0,352.0,316.0,711.0,1876.0,3480.0
OPM %,,50.0,38.0,33.0,41.0,34.0,21.0,32.0,42.0,34.0,45.0,58.0,68.0
Other Income,,-10.0,23.0,137.0,529.0,56.0,62.0,19.0,52.0,78.0,417.0,22.0,24.0
Interest,,1.0,0.0,1.0,1.0,1.0,2.0,10.0,28.0,37.0,39.0,32.0,34.0
Depreciation,,59.0,54.0,50.0,45.0,51.0,51.0,58.0,48.0,60.0,95.0,113.0,159.0
Profit before tax,,221.0,212.0,276.0,757.0,223.0,135.0,153.0,327.0,297.0,995.0,1754.0,3311.0
Tax %,,20.0,17.0,4.0,7.0,10.0,11.0,7.0,25.0,31.0,22.0,25.0,25.0
Net Profit,,177.0,177.0,265.0,702.0,199.0,121.0,142.0,245.0,206.0,772.0,1322.0,2487.0
EPS in Rs,,1.66,1.38,4.57,14.22,4.27,3.02,3.58,6.27,5.43,19.17,32.65,61.31
Dividend Payout %,,33.0,61.0,68.0,28.0,78.0,63.0,65.0,72.0,74.0,26.0,23.0,16.0
Sales Growth %,Sales,20.0,9.0,-10.0,18.0,-3.0,-7.0,3.0,33.0,10.0,70.0,105.0,60.0
Manufacturing Cost %,Expenses,3.61,4.78,4.96,4.92,3.48,3.31,2.83,2.23,5.23,10.53,12.15,6.5
Employee Cost %,Expenses,17.24,17.07,20.55,17.94,21.53,24.9,23.69,21.15,19.63,12.86,7.46,5.88
Other Cost %,Expenses,29.42,39.87,41.18,36.52,41.46,50.9,41.5,34.79,40.96,31.24,21.98,19.7
Exceptional items,Other Income,-51.0,-45.0,2.0,-1.0,-14.0,14.0,-48.0,-36.0,-0.0,318.0,-85.0,-65.0
Other income normal,Other Income,41.0,68.0,134.0,530.0,69.0,48.0,67.0,88.0,78.0,99.0,107.0,89.0
Profit from Associates,Net Profit,-0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minority share,Net Profit,-21.0,-44.0,-45.0,-13.0,0.0,2.0,3.0,9.0,15.0,7.0,4.0,10.0
Exceptional items AT,Net Profit,-39.0,-36.0,2.0,-1.0,-11.0,10.0,-38.0,-27.0,-0.0,244.0,-66.0,-58.0
Profit excl Excep,Net Profit,216.0,213.0,263.0,703.0,210.0,111.0,180.0,272.0,206.0,527.0,1389.0,2545.0
Profit for PE,Net Profit,190.0,160.0,219.0,689.0,210.0,112.0,183.0,281.0,221.0,534.0,1392.0,2555.0
Profit for EPS,Net Profit,156.0,133.0,221.0,689.0,199.0,122.0,145.0,254.0,221.0,778.0,1326.0,2497.0
Profit Growth %,Net Profit,7.0,-16.0,37.0,215.0,-70.0,-46.0,63.0,53.0,-21.0,142.0,161.0,84.0
