,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Sales,,2.0,508.0,595.0,732.0,711.0,1194.0
Expenses,,3.0,431.0,495.0,596.0,595.0,952.0
Operating Profit,,-1.0,77.0,100.0,136.0,116.0,242.0
OPM %,,-57.0,15.0,17.0,19.0,16.0,20.0
Other Income,,0.0,0.0,2.0,2.0,4.0,1.0
Interest,,0.0,21.0,21.0,17.0,17.0,20.0
Depreciation,,0.0,36.0,14.0,23.0,33.0,53.0
Profit before tax,,-1.0,20.0,66.0,99.0,70.0,171.0
Tax %,,3.0,63.0,42.0,37.0,62.0,37.0
Net Profit,,-1.0,7.0,39.0,62.0,27.0,108.0
EPS in Rs,,-145.0,741.01,3947.58,4.06,1.77,3.57
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0
Sales Growth %,Sales,,26093.0,17.0,23.0,-3.0,68.0
Material Cost %,Expenses,72.0,59.0,54.0,52.0,53.0,50.0
Manufacturing Cost %,Expenses,2.0,4.0,8.0,9.0,9.0,8.0
Employee Cost %,Expenses,1.0,5.0,7.0,8.0,8.0,6.0
Other Cost %,Expenses,84.0,16.0,14.0,12.0,14.0,16.0
Exceptional items,Other Income,0.0,0.0,0.14,0.27,0.13,-0.93
Other income normal,Other Income,0.01,0.17,1.68,1.8,3.67,2.4
Minority share,Net Profit,0.0,-0.0,-0.0,-1.0,0.0,1.0
Exceptional items AT,Net Profit,0.0,0.0,0.0,0.0,0.0,-1.0
Profit excl Excep,Net Profit,-1.0,7.0,39.0,62.0,27.0,108.0
Profit for PE,Net Profit,-1.0,7.0,38.0,61.0,27.0,109.0
Profit for EPS,Net Profit,-1.0,7.0,38.0,62.0,27.0,109.0
Profit Growth %,Net Profit,,722.0,432.0,60.0,-56.0,307.0
