,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,,43813.0,44039.0,41457.0,41345.0,47951.0,49759.0,70253.0,70614.0,85885.0,110519.0,121601.0,126371.0
Interest,,34133.0,34263.0,31540.0,29113.0,32339.0,35817.0,45182.0,43035.0,52990.0,72118.0,82681.0,89138.0
Expenses,,10302.0,17785.0,15691.0,25582.0,27202.0,26809.0,43437.0,41235.0,42772.0,46146.0,46082.0,38340.0
Financing Profit,,-621.0,-8008.0,-5775.0,-13350.0,-11590.0,-12867.0,-18367.0,-13657.0,-9877.0,-7745.0,-7162.0,-1106.0
Financing Margin %,,-1.0,-18.0,-14.0,-32.0,-24.0,-26.0,-26.0,-19.0,-12.0,-7.0,-6.0,-1.0
Other Income,,4733.0,5266.0,7852.0,7398.0,9907.0,11799.0,23086.0,23643.0,25325.0,28646.0,31057.0,26712.0
Depreciation,,429.0,172.0,331.0,456.0,429.0,446.0,838.0,841.0,1021.0,902.0,870.0,925.0
Profit before tax,,3683.0,-2914.0,1746.0,-6408.0,-2111.0,-1514.0,3882.0,9145.0,14427.0,20000.0,23025.0,24681.0
Tax %,,22.0,-13.0,29.0,-36.0,-126.0,34.0,30.0,37.0,25.0,26.0,25.0,23.0
Net Profit,,2931.0,-2535.0,1411.0,-3873.0,696.0,-1921.0,2957.0,6158.0,11345.0,15401.0,17692.0,19712.0
EPS in Rs,,10.96,-8.73,4.55,-10.78,1.6,-3.86,3.51,6.75,12.41,16.84,19.34,19.7
Dividend Payout %,,17.0,0.0,4.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,21.0,21.0
Manufacturing Cost %,Expenses,0.46,0.48,0.58,0.69,0.67,0.66,0.78,0.95,0.79,0.71,0.79,1.0
Employee Cost %,Expenses,9.85,10.2,11.97,13.79,12.44,15.08,18.65,18.71,16.64,15.49,15.3,15.26
Other Cost %,Expenses,13.2,29.71,25.3,47.39,43.62,38.14,42.4,38.74,32.36,25.55,21.8,14.08
Exceptional items,Other Income,15.0,-1.0,1.0,-5.0,-3.0,-1.0,29.0,14.0,309.0,16.0,2.0,-72.0
Other income normal,Other Income,4718.0,5267.0,7851.0,7403.0,9910.0,11801.0,23057.0,23629.0,25016.0,28630.0,31054.0,26784.0
Profit from Associates,Net Profit,73.0,0.0,177.0,215.0,149.0,102.0,255.0,363.0,537.0,619.0,356.0,760.0
Minority share,Net Profit,-66.0,-72.0,-53.0,-79.0,-94.0,-65.0,-66.0,-34.0,-90.0,-122.0,-152.0,-1839.0
Exceptional items AT,Net Profit,12.0,-1.0,1.0,-5.0,-3.0,-1.0,29.0,14.0,309.0,16.0,2.0,-72.0
Profit excl Excep,Net Profit,2919.0,-2535.0,1409.0,-3868.0,699.0,-1920.0,2928.0,6144.0,11036.0,15385.0,17690.0,19783.0
Profit for PE,Net Profit,2853.0,-2606.0,1357.0,-3947.0,604.0,-1985.0,2863.0,6110.0,10948.0,15262.0,17537.0,17938.0
Profit for EPS,Net Profit,2865.0,-2607.0,1358.0,-3951.0,602.0,-1986.0,2891.0,6125.0,11255.0,15279.0,17540.0,17873.0
Profit Growth %,Net Profit,9.0,-191.0,152.0,-391.0,115.0,-428.0,244.0,113.0,79.0,39.0,15.0,2.0
