,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,2042.0,1944.0,2112.0,2374.0,2689.0,2599.0,2632.0,3325.0,4654.0,4702.0,4894.0,5206.0
Expenses,,1808.0,1636.0,1777.0,1975.0,2250.0,2199.0,2166.0,2784.0,3999.0,3961.0,4178.0,4624.0
Operating Profit,,234.0,308.0,336.0,400.0,439.0,400.0,466.0,540.0,655.0,741.0,717.0,582.0
OPM %,,11.0,16.0,16.0,17.0,16.0,15.0,18.0,16.0,14.0,16.0,15.0,11.0
Other Income,,112.0,39.0,41.0,37.0,46.0,62.0,32.0,56.0,136.0,118.0,-23.0,-35.0
Interest,,25.0,23.0,18.0,9.0,8.0,6.0,4.0,6.0,24.0,18.0,14.0,19.0
Depreciation,,100.0,87.0,96.0,106.0,108.0,105.0,99.0,115.0,187.0,191.0,212.0,247.0
Profit before tax,,220.0,237.0,262.0,322.0,369.0,351.0,395.0,477.0,580.0,650.0,468.0,282.0
Tax %,,37.0,34.0,30.0,32.0,33.0,22.0,26.0,27.0,24.0,27.0,36.0,40.0
Net Profit,,138.0,155.0,184.0,220.0,248.0,275.0,293.0,350.0,442.0,476.0,299.0,168.0
EPS in Rs,,7.05,7.65,9.27,11.41,13.09,14.38,15.0,17.56,21.8,24.24,15.37,10.22
Dividend Payout %,,18.0,20.0,19.0,20.0,21.0,19.0,20.0,20.0,16.0,16.0,26.0,39.0
Sales Growth %,Sales,-3.57,-4.81,8.67,12.4,13.24,-3.34,1.26,26.33,39.99,1.03,4.08,6.38
Material Cost %,Expenses,35.14,35.06,34.78,33.9,35.51,34.13,34.12,34.82,36.83,36.1,36.68,39.13
Manufacturing Cost %,Expenses,27.84,20.03,19.73,21.7,21.93,22.17,21.05,19.56,17.64,21.36,21.45,22.39
Employee Cost %,Expenses,13.55,13.04,13.02,13.17,12.24,13.35,13.27,12.67,14.92,16.55,17.66,18.35
Other Cost %,Expenses,11.99,16.04,16.58,14.4,13.99,14.97,13.86,16.7,16.54,10.23,9.56,8.95
Exceptional items,Other Income,90.0,-4.0,1.0,-0.0,0.0,4.0,-11.0,-3.0,22.0,-2.0,-109.0,-137.0
Other income normal,Other Income,22.0,43.0,40.0,37.0,46.0,57.0,43.0,59.0,114.0,120.0,86.0,102.0
Minority share,Net Profit,-6.0,-11.0,-9.0,-4.0,0.0,-3.0,-9.0,-17.0,-28.0,-15.0,-6.0,27.0
Exceptional items AT,Net Profit,53.0,-3.0,1.0,-0.0,0.0,3.0,-8.0,-2.0,15.0,-1.0,-70.0,-62.0
Profit excl Excep,Net Profit,85.0,158.0,183.0,220.0,247.0,272.0,301.0,352.0,426.0,478.0,368.0,230.0
Profit for PE,Net Profit,81.0,146.0,174.0,216.0,248.0,269.0,292.0,335.0,400.0,463.0,361.0,257.0
Profit for EPS,Net Profit,133.0,144.0,175.0,216.0,248.0,272.0,284.0,333.0,414.0,461.0,293.0,195.0
Profit Growth %,Net Profit,-10.0,80.0,19.0,24.0,15.0,9.0,9.0,15.0,19.0,16.0,-22.0,-29.0
