,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,74120.0,77861.0,78164.0,85244.0,99586.0,96080.0,90026.0,109715.0,138252.0,144762.0,143369.0,168400.0
Expenses,,56777.0,59147.0,65716.0,75956.0,74579.0,74500.0,71398.0,84995.0,94020.0,96791.0,96305.0,127158.0
Operating Profit,,17343.0,18714.0,12448.0,9288.0,25007.0,21581.0,18628.0,24721.0,44232.0,47971.0,47064.0,41242.0
OPM %,,23.0,24.0,16.0,11.0,25.0,22.0,21.0,23.0,32.0,33.0,33.0,24.0
Other Income,,6570.0,5939.0,5316.0,4975.0,5834.0,6444.0,3742.0,3866.0,6560.0,8396.0,9932.0,12034.0
Interest,,9.0,388.0,410.0,430.0,264.0,503.0,642.0,541.0,684.0,819.0,884.0,1216.0
Depreciation,,2320.0,2826.0,2907.0,3063.0,3450.0,3451.0,3718.0,4429.0,6833.0,6735.0,9145.0,10137.0
Profit before tax,,21584.0,21440.0,14446.0,10770.0,27127.0,24071.0,18009.0,23616.0,43275.0,48813.0,46966.0,41923.0
Tax %,,36.0,33.0,36.0,35.0,36.0,31.0,29.0,26.0,27.0,23.0,25.0,26.0
Net Profit,,13727.0,14267.0,9280.0,7038.0,17464.0,16700.0,12702.0,17378.0,31723.0,37369.0,35302.0,31071.0
EPS in Rs,,21.73,22.59,14.95,11.34,28.34,27.12,20.61,28.17,51.54,60.69,57.37,50.46
Dividend Payout %,,95.0,121.0,133.0,146.0,46.0,44.0,78.0,60.0,47.0,42.0,46.0,53.0
Sales Growth %,Sales,4.97,5.05,0.39,9.06,16.82,-3.52,-6.3,21.87,26.01,4.71,-0.96,17.46
Material Cost %,Expenses,9.07,7.19,-1.58,1.97,0.86,-1.02,-2.3,2.2,-0.14,-1.05,-1.61,4.95
Manufacturing Cost %,Expenses,16.35,19.09,29.64,27.68,24.82,25.94,30.88,29.78,30.02,30.37,33.69,0.0
Employee Cost %,Expenses,40.31,38.69,42.89,50.0,38.93,41.01,42.87,36.89,35.74,33.7,32.26,27.57
Other Cost %,Expenses,10.87,11.0,13.13,9.46,10.27,11.61,7.86,8.6,2.39,3.84,2.84,42.99
Exceptional items,Other Income,10.0,2.0,-4.0,19.0,-3.0,-1.0,-1.0,-15.0,28.0,19.0,-1.0,0.0
Other income normal,Other Income,6560.0,5937.0,5320.0,4955.0,5837.0,6445.0,3743.0,3881.0,6532.0,8377.0,9932.0,12034.0
Profit from Associates,Net Profit,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minority share,Net Profit,0.0,0.0,0.0,0.0,-1.0,14.0,-2.0,-20.0,40.0,33.0,56.0,24.0
Exceptional items AT,Net Profit,6.0,1.0,-2.0,7.0,-2.0,-0.0,-1.0,-11.0,21.0,14.0,-0.0,0.0
Profit excl Excep,Net Profit,13720.0,14266.0,9282.0,7031.0,17466.0,16701.0,12703.0,17390.0,31702.0,37355.0,35302.0,31071.0
Profit for PE,Net Profit,13720.0,14266.0,9282.0,7031.0,17465.0,16715.0,12701.0,17369.0,31743.0,37388.0,35359.0,31094.0
Profit for EPS,Net Profit,13727.0,14267.0,9280.0,7039.0,17463.0,16714.0,12700.0,17358.0,31763.0,37402.0,35358.0,31094.0
Profit Growth %,Net Profit,-9.0,4.0,-35.0,-24.0,148.0,-4.0,-24.0,37.0,83.0,18.0,-5.0,-12.0
