,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,2736.0,3094.0,3586.0,3914.0,4618.0,4427.0,4132.0,4534.0,6016.0,7147.0,7360.0,7268.0
Expenses,,2335.0,2680.0,3109.0,3394.0,3985.0,3881.0,3557.0,3717.0,5013.0,5844.0,6222.0,6369.0
Operating Profit,,401.0,414.0,477.0,520.0,633.0,546.0,575.0,818.0,1003.0,1303.0,1138.0,899.0
OPM %,,15.0,13.0,13.0,13.0,14.0,12.0,14.0,18.0,17.0,18.0,15.0,12.0
Other Income,,122.0,112.0,79.0,147.0,131.0,158.0,140.0,112.0,35.0,-2.0,97.0,84.0
Interest,,6.0,16.0,17.0,20.0,33.0,49.0,43.0,39.0,100.0,116.0,93.0,61.0
Depreciation,,71.0,89.0,95.0,105.0,111.0,188.0,194.0,192.0,257.0,267.0,267.0,278.0
Profit before tax,,446.0,421.0,444.0,541.0,620.0,468.0,477.0,698.0,681.0,918.0,875.0,644.0
Tax %,,25.0,24.0,24.0,26.0,23.0,27.0,24.0,25.0,24.0,23.0,26.0,28.0
Net Profit,,351.0,320.0,340.0,403.0,477.0,341.0,364.0,522.0,514.0,703.0,648.0,463.0
EPS in Rs,,31.43,28.94,30.54,36.0,42.33,31.14,33.06,47.35,46.52,61.57,55.45,38.51
Dividend Payout %,,25.0,24.0,34.0,36.0,35.0,48.0,51.0,51.0,56.0,49.0,47.0,42.0
Sales Growth %,Sales,24.0,13.09,15.89,9.15,17.98,-4.12,-6.66,9.73,32.67,18.81,2.98,-1.25
Material Cost %,Expenses,2.0,6.0,8.0,8.0,9.0,9.0,13.0,13.0,12.0,14.0,15.0,11.0
Manufacturing Cost %,Expenses,11.0,10.0,11.0,11.0,12.0,12.0,4.0,4.0,5.0,5.0,5.0,5.0
Employee Cost %,Expenses,61.0,59.0,57.0,56.0,55.0,56.0,52.0,50.0,50.0,49.0,50.0,56.0
Other Cost %,Expenses,11.0,11.0,11.0,11.0,10.0,11.0,17.0,15.0,16.0,14.0,14.0,16.0
Exceptional items,Other Income,-0.0,-6.0,-26.0,-5.0,-4.0,0.0,0.0,0.0,-44.0,-63.0,4.0,-85.0
Other income normal,Other Income,122.0,119.0,106.0,152.0,134.0,158.0,140.0,112.0,78.0,61.0,92.0,169.0
Profit from Associates,Net Profit,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minority share,Net Profit,2.0,5.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,-20.0,-33.0,-35.0
Exceptional items AT,Net Profit,-0.0,-5.0,-20.0,-4.0,-3.0,0.0,0.0,0.0,-31.0,-46.0,3.0,-49.0
Profit excl Excep,Net Profit,351.0,325.0,359.0,407.0,480.0,341.0,364.0,522.0,545.0,749.0,645.0,512.0
Profit for PE,Net Profit,353.0,330.0,364.0,409.0,481.0,342.0,364.0,522.0,545.0,728.0,613.0,473.0
Profit for EPS,Net Profit,353.0,326.0,344.0,405.0,478.0,342.0,364.0,522.0,514.0,683.0,616.0,428.0
Profit Growth %,Net Profit,33.0,-7.0,10.0,12.0,18.0,-29.0,6.0,44.0,4.0,33.0,-16.0,-23.0
