,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,7444.0,8579.0,9484.0,9674.0,10110.0,11286.0,13552.0,14691.0,13980.0,14804.0
Expenses,,5550.0,6543.0,7542.0,7591.0,7340.0,8860.0,11224.0,12052.0,11573.0,11721.0
Operating Profit,,1894.0,2036.0,1942.0,2083.0,2770.0,2426.0,2328.0,2639.0,2407.0,3083.0
OPM %,,25.0,24.0,20.0,22.0,27.0,22.0,17.0,18.0,17.0,21.0
Other Income,,296.0,274.0,235.0,217.0,145.0,171.0,532.0,314.0,140.0,195.0
Interest,,856.0,708.0,542.0,415.0,303.0,202.0,234.0,386.0,399.0,480.0
Depreciation,,1226.0,1213.0,1296.0,1528.0,1250.0,1235.0,1305.0,1498.0,1331.0,1349.0
Profit before tax,,108.0,389.0,339.0,357.0,1362.0,1160.0,1321.0,1069.0,817.0,1449.0
Tax %,,69.0,25.0,-3.0,33.0,13.0,27.0,18.0,20.0,14.0,20.0
Net Profit,,44.0,291.0,349.0,238.0,1183.0,845.0,1079.0,853.0,699.0,1157.0
EPS in Rs,,8800.0,58400.0,15.96,11.61,62.58,43.55,55.21,44.04,36.41,60.73
Dividend Payout %,,0.0,1937.0,13.0,17.0,2.0,20.0,16.0,21.0,25.0,15.0
Sales Growth %,Sales,,15.25,10.55,2.0,4.51,11.63,20.08,8.4,-4.84,5.89
Material Cost %,Expenses,16.94,17.8,18.82,18.05,15.26,13.04,14.62,18.4,16.65,15.79
Manufacturing Cost %,Expenses,21.02,23.06,44.68,44.41,43.28,50.83,54.71,49.66,51.48,49.13
Employee Cost %,Expenses,7.94,7.2,6.84,6.99,6.53,6.6,5.69,5.93,6.33,6.04
Other Cost %,Expenses,28.65,28.21,9.18,9.02,7.53,8.03,7.81,8.05,8.32,8.21
Exceptional items,Other Income,110.0,110.0,185.0,58.0,-6.0,106.0,-94.0,82.0,-25.0,79.0
Other income normal,Other Income,186.0,164.0,50.0,159.0,151.0,65.0,626.0,232.0,165.0,116.0
Profit from Associates,Net Profit,10.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
Minority share,Net Profit,0.0,1.0,-41.0,-14.0,-12.0,-29.0,-44.0,-27.0,-16.0,-18.0
Exceptional items AT,Net Profit,21.0,75.0,124.0,39.0,-3.0,72.0,-72.0,61.0,-19.0,59.0
Profit excl Excep,Net Profit,23.0,216.0,225.0,199.0,1186.0,773.0,1151.0,792.0,718.0,1098.0
Profit for PE,Net Profit,23.0,217.0,199.0,187.0,1174.0,746.0,1104.0,767.0,701.0,1081.0
Profit for EPS,Net Profit,44.0,292.0,308.0,224.0,1171.0,816.0,1035.0,826.0,683.0,1139.0
Profit Growth %,Net Profit,,845.0,-9.0,-6.0,528.0,-36.0,48.0,-31.0,-9.0,54.0
