,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,828.0,816.0,852.0,910.0,1133.0,1203.0,1149.0,1201.0,1459.0,1550.0,1723.0,1987.0
Expenses,,742.0,737.0,769.0,827.0,998.0,1078.0,1005.0,1007.0,1215.0,1304.0,1492.0,1616.0
Operating Profit,,86.0,79.0,84.0,83.0,135.0,125.0,144.0,194.0,244.0,246.0,232.0,372.0
OPM %,,10.0,10.0,10.0,9.0,12.0,10.0,12.0,16.0,17.0,16.0,13.0,19.0
Other Income,,6.0,14.0,15.0,27.0,12.0,5.0,10.0,35.0,39.0,45.0,78.0,-9.0
Interest,,7.0,7.0,6.0,5.0,6.0,6.0,5.0,4.0,4.0,4.0,12.0,19.0
Depreciation,,21.0,27.0,24.0,20.0,26.0,37.0,39.0,33.0,35.0,36.0,48.0,84.0
Profit before tax,,64.0,58.0,69.0,84.0,115.0,88.0,109.0,192.0,243.0,251.0,249.0,260.0
Tax %,,24.0,24.0,8.0,15.0,26.0,30.0,23.0,19.0,24.0,21.0,18.0,25.0
Net Profit,,49.0,45.0,64.0,72.0,84.0,62.0,84.0,155.0,185.0,197.0,206.0,195.0
EPS in Rs,,7.33,7.6,11.06,10.87,12.64,10.81,13.53,26.71,32.05,33.59,34.69,32.86
Dividend Payout %,,14.0,10.0,7.0,7.0,10.0,0.0,0.0,14.0,16.0,15.0,14.0,15.0
Sales Growth %,Sales,12.84,-1.43,4.44,6.79,24.52,6.16,-4.51,4.53,21.49,6.22,11.19,15.31
Material Cost %,Expenses,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Manufacturing Cost %,Expenses,3.0,3.0,4.0,6.0,5.0,7.0,6.0,6.0,10.0,8.0,10.0,0.0
Employee Cost %,Expenses,55.0,62.0,60.0,62.0,61.0,64.0,67.0,65.0,61.0,64.0,65.0,62.0
Other Cost %,Expenses,30.0,25.0,25.0,22.0,21.0,16.0,14.0,12.0,12.0,12.0,12.0,19.0
Exceptional items,Other Income,2.0,1.0,-0.0,4.0,2.0,-14.0,1.0,14.0,10.0,10.0,53.0,-65.0
Other income normal,Other Income,4.0,12.0,15.0,23.0,10.0,19.0,9.0,21.0,29.0,35.0,25.0,56.0
Profit from Associates,Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minority share,Net Profit,-5.0,0.0,1.0,-7.0,-10.0,2.0,-4.0,2.0,4.0,1.0,-0.0,-1.0
Exceptional items AT,Net Profit,2.0,-1.0,-0.0,3.0,1.0,-9.0,1.0,11.0,7.0,8.0,43.0,-45.0
Profit excl Excep,Net Profit,47.0,46.0,64.0,68.0,83.0,71.0,83.0,144.0,178.0,189.0,162.0,240.0
Profit for PE,Net Profit,42.0,46.0,65.0,61.0,73.0,73.0,79.0,146.0,182.0,190.0,162.0,239.0
Profit for EPS,Net Profit,43.0,45.0,65.0,64.0,75.0,64.0,80.0,157.0,189.0,198.0,205.0,194.0
Profit Growth %,Net Profit,-12.0,9.0,43.0,-6.0,20.0,-0.0,8.0,85.0,24.0,5.0,-15.0,48.0
