,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,87.0,96.0,116.0,123.0,154.0,174.0,175.0,247.0,205.0,269.0,312.0,342.0
Expenses,,79.0,88.0,99.0,103.0,125.0,149.0,129.0,184.0,171.0,208.0,203.0,225.0
Operating Profit,,8.0,8.0,17.0,20.0,30.0,25.0,46.0,63.0,34.0,62.0,110.0,116.0
OPM %,,9.0,8.0,15.0,16.0,19.0,14.0,26.0,25.0,16.0,23.0,35.0,34.0
Other Income,,2.0,2.0,2.0,1.0,2.0,121.0,5.0,15.0,19.0,21.0,36.0,50.0
Interest,,13.0,16.0,11.0,11.0,14.0,16.0,10.0,4.0,4.0,8.0,17.0,9.0
Depreciation,,5.0,7.0,7.0,7.0,10.0,11.0,13.0,12.0,11.0,10.0,21.0,21.0
Profit before tax,,-9.0,-13.0,0.0,2.0,7.0,120.0,27.0,62.0,37.0,64.0,108.0,135.0
Tax %,,0.0,0.0,0.0,0.0,0.0,25.0,12.0,29.0,24.0,29.0,23.0,23.0
Net Profit,,-9.0,-13.0,0.0,2.0,7.0,89.0,24.0,44.0,28.0,45.0,83.0,104.0
EPS in Rs,,-13.26,-20.35,0.6,3.8,11.29,136.59,36.74,67.51,42.98,69.18,6.36,7.41
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sales Growth %,Sales,28.65,9.95,20.71,6.28,25.32,12.93,0.5,40.87,-16.87,31.38,15.96,9.31
Material Cost %,Expenses,19.89,18.23,15.65,16.22,12.03,3.32,10.53,14.11,12.62,20.37,11.43,11.58
Manufacturing Cost %,Expenses,52.5,52.28,44.94,55.53,56.85,48.05,36.85,29.72,42.37,33.72,28.32,21.58
Employee Cost %,Expenses,7.32,8.68,6.72,7.02,6.34,6.65,6.61,5.5,7.06,5.99,7.36,8.21
Other Cost %,Expenses,11.35,12.58,18.12,5.26,5.61,27.59,19.65,25.23,21.54,17.07,17.75,24.6
Exceptional items,Other Income,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,5.0,4.0,0.0
Other income normal,Other Income,1.0,1.0,2.0,1.0,2.0,121.0,5.0,12.0,9.0,16.0,32.0,50.0
Exceptional items AT,Net Profit,1.0,1.0,0.0,-0.0,0.0,0.0,-0.0,2.0,6.0,3.0,3.0,-0.0
Profit excl Excep,Net Profit,-9.0,-14.0,0.0,2.0,7.0,89.0,24.0,42.0,22.0,42.0,80.0,104.0
Profit for PE,Net Profit,-9.0,-14.0,0.0,2.0,7.0,89.0,24.0,42.0,22.0,42.0,80.0,104.0
Profit for EPS,Net Profit,-9.0,-13.0,0.0,2.0,7.0,89.0,24.0,44.0,28.0,45.0,83.0,104.0
Profit Growth %,Net Profit,67.0,-49.0,101.0,1456.0,190.0,1132.0,-73.0,75.0,-49.0,94.0,91.0,30.0
