,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,3172.0,3202.0,4349.0,5446.0,6285.0,6965.0,7183.0
Expenses,,2945.0,2998.0,4057.0,5110.0,5836.0,6514.0,6745.0
Operating Profit,,228.0,204.0,292.0,336.0,449.0,451.0,438.0
OPM %,,7.0,6.0,7.0,6.0,7.0,6.0,6.0
Other Income,,-1.0,5.0,4.0,11.0,10.0,8.0,15.0
Interest,,63.0,72.0,85.0,99.0,108.0,118.0,154.0
Depreciation,,51.0,58.0,71.0,85.0,106.0,127.0,156.0
Profit before tax,,112.0,80.0,140.0,163.0,246.0,215.0,143.0
Tax %,,27.0,26.0,26.0,25.0,25.0,26.0,25.0
Net Profit,,82.0,59.0,104.0,123.0,184.0,160.0,107.0
EPS in Rs,,2.72,1.95,3.46,3.19,4.78,4.16,2.78
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sales Growth %,Sales,,0.93,35.84,25.21,15.42,10.81,3.14
Material Cost %,Expenses,85.0,86.0,86.0,86.0,85.0,86.0,86.0
Manufacturing Cost %,Expenses,1.0,1.0,1.0,1.0,1.0,2.0,0.0
Employee Cost %,Expenses,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Other Cost %,Expenses,5.0,4.0,4.0,4.0,4.0,4.0,6.0
Exceptional items,Other Income,-7.87,0.0,0.0,0.0,0.0,-0.8,6.84
Other income normal,Other Income,6.54,5.49,3.76,11.05,10.07,9.14,8.19
Exceptional items AT,Net Profit,-5.0,0.0,0.0,0.0,0.0,-1.0,5.0
Profit excl Excep,Net Profit,87.0,59.0,104.0,123.0,184.0,161.0,103.0
Profit for PE,Net Profit,87.0,59.0,104.0,123.0,184.0,161.0,103.0
Profit for EPS,Net Profit,82.0,59.0,104.0,123.0,184.0,160.0,107.0
Profit Growth %,Net Profit,,-33.0,77.0,18.0,50.0,-13.0,-36.0
