,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,,1981.0,1746.0,1867.0,1927.0,1955.0,2770.0,3259.0,4425.0,6198.0,5051.0,4051.0
Expenses,,2155.0,1966.0,1821.0,1759.0,1945.0,2491.0,2708.0,3829.0,5443.0,4693.0,3956.0
Operating Profit,,-174.0,-220.0,45.0,168.0,10.0,279.0,551.0,596.0,755.0,358.0,95.0
OPM %,,-9.0,-13.0,2.0,9.0,0.0,10.0,17.0,13.0,12.0,7.0,2.0
Other Income,,27.0,41.0,18.0,42.0,457.0,1004.0,68.0,22.0,136.0,-42.0,241.0
Interest,,201.0,257.0,305.0,321.0,281.0,289.0,245.0,244.0,248.0,247.0,246.0
Depreciation,,25.0,23.0,21.0,17.0,23.0,18.0,23.0,27.0,30.0,27.0,37.0
Profit before tax,,-373.0,-459.0,-263.0,-129.0,163.0,976.0,350.0,346.0,613.0,42.0,54.0
Tax %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-206.0,23.0
Net Profit,,-373.0,-459.0,-263.0,-129.0,163.0,976.0,350.0,346.0,613.0,128.0,41.0
EPS in Rs,,-5.76,-7.09,-4.06,-1.99,2.51,15.08,5.42,5.35,9.47,1.98,0.64
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,49.0,61.0
Sales Growth %,Sales,,-11.86,6.92,3.22,1.44,41.71,17.65,35.78,40.08,-18.5,-19.8
Material Cost %,Expenses,74.0,72.0,58.0,53.0,65.0,57.0,55.0,62.0,59.0,65.0,70.0
Manufacturing Cost %,Expenses,12.0,14.0,16.0,13.0,11.0,13.0,10.0,13.0,14.0,15.0,12.0
Employee Cost %,Expenses,13.0,14.0,13.0,13.0,12.0,8.0,7.0,5.0,5.0,6.0,7.0
Other Cost %,Expenses,10.0,12.0,11.0,12.0,12.0,12.0,11.0,7.0,9.0,8.0,9.0
Exceptional items AT,Net Profit,8.0,20.0,0.0,0.0,434.0,972.0,0.0,-89.0,8.0,-243.0,19.0
Profit excl Excep,Net Profit,-381.0,-479.0,-263.0,-129.0,-271.0,3.0,350.0,435.0,604.0,371.0,22.0
Profit for PE,Net Profit,-381.0,-479.0,-263.0,-129.0,-271.0,3.0,350.0,435.0,604.0,371.0,22.0
Profit for EPS,Net Profit,-373.0,-459.0,-263.0,-129.0,163.0,976.0,350.0,346.0,613.0,128.0,41.0
Profit Growth %,Net Profit,,-26.0,45.0,51.0,-110.0,101.0,9970.0,24.0,39.0,-39.0,-94.0
