,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,824.0,987.0,1015.0,1240.0,1449.0,1379.0,1221.0,1572.0,1848.0,2029.0,2423.0,2816.0
Expenses,,721.0,859.0,897.0,1099.0,1292.0,1223.0,1087.0,1378.0,1599.0,1760.0,2100.0,2420.0
Operating Profit,,103.0,127.0,118.0,141.0,157.0,157.0,134.0,194.0,249.0,269.0,322.0,396.0
OPM %,,12.0,13.0,12.0,11.0,11.0,11.0,11.0,12.0,13.0,13.0,13.0,14.0
Other Income,,1.0,1.0,-9.0,8.0,1.0,1.0,0.0,3.0,11.0,16.0,20.0,21.0
Interest,,12.0,16.0,23.0,23.0,22.0,18.0,12.0,9.0,7.0,3.0,2.0,3.0
Depreciation,,31.0,33.0,39.0,44.0,49.0,53.0,57.0,59.0,63.0,59.0,64.0,72.0
Profit before tax,,61.0,79.0,46.0,82.0,87.0,87.0,65.0,129.0,189.0,223.0,276.0,341.0
Tax %,,30.0,28.0,28.0,36.0,35.0,9.0,28.0,26.0,26.0,26.0,26.0,25.0
Net Profit,,42.0,57.0,33.0,53.0,56.0,75.0,47.0,94.0,140.0,166.0,205.0,256.0
EPS in Rs,,17.77,23.99,12.57,19.98,21.16,28.35,17.75,35.8,53.17,62.96,77.86,97.11
Dividend Payout %,,20.0,17.0,32.0,23.0,28.0,23.0,45.0,28.0,28.0,32.0,39.0,41.0
Sales Growth %,Sales,14.61,19.72,2.85,22.18,16.88,-4.8,-11.47,28.75,17.54,9.78,19.41,16.22
Material Cost %,Expenses,60.0,58.0,58.0,60.0,62.0,61.0,62.0,63.0,61.0,61.0,62.0,61.0
Manufacturing Cost %,Expenses,10.0,11.0,11.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,6.0,0.0
Employee Cost %,Expenses,12.0,13.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,14.0,14.0,14.0
Other Cost %,Expenses,5.0,6.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,11.0
Exceptional items,Other Income,-0.12,0.07,-14.19,3.35,0.13,-0.7,-3.13,0.0,0.1,0.15,3.94,0.0
Other income normal,Other Income,0.9,0.97,4.71,4.55,0.86,1.53,3.14,2.6,10.7,15.82,15.93,20.79
Profit from Associates,Net Profit,0.0,0.0,0.0,-0.0,-1.0,-4.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0
Exceptional items AT,Net Profit,-0.0,0.0,-8.0,2.0,0.0,-1.0,-2.0,0.0,0.0,0.0,3.0,0.0
Profit excl Excep,Net Profit,43.0,57.0,41.0,50.0,56.0,75.0,49.0,94.0,140.0,166.0,202.0,256.0
Profit for PE,Net Profit,43.0,57.0,41.0,50.0,56.0,75.0,49.0,94.0,140.0,166.0,202.0,256.0
Profit for EPS,Net Profit,42.0,57.0,33.0,53.0,56.0,75.0,47.0,94.0,140.0,166.0,205.0,256.0
Profit Growth %,Net Profit,15.0,35.0,-28.0,23.0,10.0,35.0,-35.0,93.0,48.0,18.0,22.0,27.0
