,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,2482.0,2602.0,2738.0,3091.0,2985.0,3462.0,4647.0,4397.0,4317.0,4142.0,4113.0
Expenses,,2075.0,2039.0,2253.0,2487.0,2536.0,2472.0,3624.0,4105.0,3732.0,3666.0,3435.0
Operating Profit,,407.0,563.0,484.0,604.0,448.0,990.0,1023.0,293.0,585.0,476.0,679.0
OPM %,,16.0,22.0,18.0,20.0,15.0,29.0,22.0,7.0,14.0,12.0,16.0
Other Income,,71.0,32.0,40.0,26.0,55.0,87.0,457.0,145.0,218.0,703.0,254.0
Interest,,45.0,15.0,10.0,12.0,11.0,7.0,14.0,27.0,36.0,30.0,21.0
Depreciation,,51.0,55.0,61.0,70.0,74.0,78.0,83.0,89.0,116.0,107.0,107.0
Profit before tax,,383.0,525.0,454.0,548.0,418.0,992.0,1383.0,321.0,651.0,1043.0,805.0
Tax %,,33.0,32.0,33.0,33.0,20.0,26.0,24.0,22.0,27.0,23.0,26.0
Net Profit,,258.0,355.0,306.0,367.0,333.0,738.0,1051.0,251.0,474.0,800.0,599.0
EPS in Rs,,4.15,5.72,4.94,5.92,5.36,11.89,16.94,4.04,7.63,12.89,9.65
Dividend Payout %,,48.0,40.0,41.0,34.0,37.0,34.0,24.0,37.0,33.0,28.0,28.0
Sales Growth %,Sales,,4.85,5.2,12.91,-3.46,16.01,34.23,-5.39,-1.81,-4.06,-0.69
Material Cost %,Expenses,65.0,61.0,64.0,61.0,64.0,55.0,60.0,69.0,62.0,64.0,58.0
Manufacturing Cost %,Expenses,10.0,9.0,11.0,11.0,11.0,8.0,10.0,15.0,14.0,14.0,0.0
Employee Cost %,Expenses,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0
Other Cost %,Expenses,4.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0,19.0
Exceptional items,Other Income,38.0,9.0,6.0,-28.0,-1.0,-1.0,383.0,33.0,61.0,502.0,0.0
Other income normal,Other Income,33.0,23.0,35.0,54.0,55.0,88.0,74.0,112.0,156.0,202.0,254.0
Exceptional items AT,Net Profit,26.0,6.0,4.0,-19.0,-0.0,-0.0,294.0,24.0,45.0,385.0,0.0
Profit excl Excep,Net Profit,232.0,349.0,303.0,386.0,333.0,738.0,757.0,226.0,429.0,415.0,599.0
Profit for PE,Net Profit,232.0,349.0,303.0,386.0,333.0,738.0,757.0,226.0,429.0,415.0,599.0
Profit for EPS,Net Profit,258.0,355.0,306.0,367.0,333.0,738.0,1051.0,251.0,474.0,800.0,599.0
Profit Growth %,Net Profit,,50.0,-13.0,27.0,-14.0,122.0,3.0,-70.0,89.0,-3.0,44.0
