,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,4642.0,4552.0,4589.0,5837.0,5896.0,5162.0,5129.0,8642.0,10227.0,7930.0,7892.0,7773.0
Expenses,,4662.0,3989.0,4228.0,4445.0,5022.0,4621.0,4125.0,6259.0,8348.0,7428.0,7277.0,6894.0
Operating Profit,,-21.0,563.0,361.0,1392.0,874.0,542.0,1003.0,2384.0,1879.0,502.0,615.0,879.0
OPM %,,-0.0,12.0,8.0,24.0,15.0,10.0,20.0,28.0,18.0,6.0,8.0,11.0
Other Income,,52.0,252.0,809.0,140.0,215.0,153.0,237.0,209.0,361.0,469.0,501.0,499.0
Interest,,274.0,297.0,203.0,100.0,6.0,5.0,20.0,3.0,5.0,13.0,23.0,6.0
Depreciation,,209.0,251.0,251.0,270.0,263.0,264.0,272.0,292.0,303.0,308.0,303.0,307.0
Profit before tax,,-452.0,268.0,715.0,1162.0,819.0,425.0,948.0,2298.0,1932.0,651.0,790.0,1065.0
Tax %,,0.0,35.0,27.0,32.0,10.0,-17.0,27.0,26.0,24.0,26.0,26.0,25.0
Net Profit,,-443.0,180.0,529.0,795.0,750.0,508.0,697.0,1710.0,1472.0,497.0,598.0,808.0
EPS in Rs,,-28.5,11.57,34.02,51.15,48.24,32.69,44.84,110.05,94.68,33.83,40.68,54.99
Dividend Payout %,,0.0,17.0,15.0,15.0,15.0,15.0,18.0,9.0,32.0,49.0,44.0,38.0
Sales Growth %,Sales,,-1.93,0.81,27.21,1.01,-12.44,-0.65,68.51,18.34,-22.46,-0.47,-1.51
Material Cost %,Expenses,60.0,52.0,48.0,43.0,49.0,53.0,45.0,46.0,49.0,57.0,57.0,52.0
Manufacturing Cost %,Expenses,20.0,23.0,24.0,21.0,22.0,22.0,22.0,18.0,24.0,25.0,24.0,19.0
Employee Cost %,Expenses,8.0,8.0,8.0,7.0,9.0,10.0,9.0,5.0,6.0,8.0,7.0,7.0
Other Cost %,Expenses,12.0,5.0,12.0,5.0,6.0,4.0,5.0,3.0,3.0,4.0,4.0,10.0
Exceptional items,Other Income,-0.0,0.0,311.0,9.0,3.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0
Other income normal,Other Income,52.0,252.0,498.0,131.0,212.0,153.0,237.0,209.0,360.0,469.0,501.0,499.0
Profit from Associates,Net Profit,9.0,7.0,7.0,5.0,9.0,9.0,8.0,7.0,8.0,12.0,12.0,11.0
Exceptional items AT,Net Profit,-0.0,0.0,227.0,6.0,2.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit excl Excep,Net Profit,-443.0,180.0,302.0,789.0,748.0,508.0,697.0,1710.0,1471.0,497.0,598.0,808.0
Profit for PE,Net Profit,-443.0,180.0,302.0,789.0,748.0,508.0,697.0,1710.0,1471.0,497.0,598.0,808.0
Profit for EPS,Net Profit,-443.0,180.0,529.0,795.0,750.0,508.0,697.0,1710.0,1472.0,497.0,598.0,808.0
Profit Growth %,Net Profit,,141.0,68.0,161.0,-5.0,-32.0,37.0,145.0,-14.0,-66.0,20.0,35.0
