,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1711.0,1532.0,1468.0,3266.0,7858.0,3094.0,1958.0,3027.0,3181.0,2950.0,2560.0,2852.0
Expenses,,1574.0,1398.0,1428.0,1821.0,2838.0,3180.0,2173.0,2568.0,2869.0,3093.0,2307.0,2650.0
Operating Profit,,137.0,135.0,40.0,1445.0,5020.0,-86.0,-215.0,458.0,312.0,-143.0,253.0,202.0
OPM %,,8.0,9.0,2.7,44.0,64.0,-2.8,-11.0,15.0,10.0,-4.9,10.0,7.0
Other Income,,29.0,49.0,86.0,88.0,155.0,174.0,316.0,294.0,80.0,1258.0,438.0,162.0
Interest,,16.0,9.0,8.0,8.0,12.0,18.0,6.0,5.0,13.0,17.0,11.0,25.0
Depreciation,,44.0,49.0,46.0,52.0,62.0,51.0,52.0,55.0,57.0,80.0,90.0,95.0
Profit before tax,,107.0,125.0,72.0,1473.0,5101.0,19.0,43.0,693.0,322.0,1017.0,591.0,244.0
Tax %,,46.0,34.0,2.0,30.0,33.0,-134.0,175.0,27.0,38.0,21.0,22.0,30.0
Net Profit,,58.0,83.0,70.0,1032.0,3396.0,45.0,-32.0,505.0,199.0,805.0,458.0,171.0
EPS in Rs,,2.95,4.24,3.61,52.82,173.8,2.3,-1.64,25.83,10.2,41.36,23.65,8.97
Dividend Payout %,,68.0,47.0,55.0,32.0,32.0,87.0,-305.0,39.0,83.0,27.0,47.0,78.0
Sales Growth %,Sales,-14.86,-10.43,-4.21,122.51,140.6,-60.63,-36.72,54.6,5.1,-7.27,-13.21,11.39
Material Cost %,Expenses,44.18,42.17,39.86,23.63,18.9,69.08,60.68,38.21,42.56,66.39,44.96,47.31
Manufacturing Cost %,Expenses,27.1,26.51,32.01,18.12,9.6,17.95,24.9,27.13,30.48,22.53,25.7,27.34
Employee Cost %,Expenses,12.25,13.22,15.23,8.05,4.23,9.15,13.16,10.29,9.93,9.55,11.58,9.48
Other Cost %,Expenses,8.46,9.32,10.2,5.96,3.37,6.6,12.26,9.22,7.21,6.4,7.87,8.78
Exceptional items,Other Income,9.0,0.0,1.0,-0.0,-53.0,0.0,2.0,0.0,-53.0,953.0,4.0,-12.0
Other income normal,Other Income,20.0,49.0,85.0,88.0,208.0,174.0,314.0,293.0,133.0,304.0,434.0,174.0
Minority share,Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0
Exceptional items AT,Net Profit,5.0,0.0,1.0,-0.0,-35.0,0.0,-1.0,0.0,-32.0,751.0,5.0,-7.0
Profit excl Excep,Net Profit,53.0,83.0,70.0,1032.0,3431.0,45.0,-31.0,504.0,231.0,54.0,453.0,178.0
Profit for PE,Net Profit,53.0,83.0,70.0,1032.0,3431.0,45.0,-31.0,504.0,231.0,57.0,457.0,182.0
Profit for EPS,Net Profit,58.0,83.0,70.0,1032.0,3396.0,45.0,-32.0,505.0,199.0,808.0,462.0,175.0
Profit Growth %,Net Profit,-54.0,57.0,-16.0,1380.0,232.0,-99.0,-168.0,1747.0,-54.0,-75.0,697.0,-60.0
