,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,15730.0,16758.0,17950.0,18519.0,20008.0,21438.0,22882.0,24620.0,26928.0,30381.0,30981.0,33090.0
Expenses,,13379.0,14281.0,14714.0,15059.0,15440.0,16565.0,17541.0,19200.0,20258.0,20631.0,21371.0,23322.0
Operating Profit,,2351.0,2478.0,3236.0,3460.0,4569.0,4873.0,5341.0,5420.0,6669.0,9749.0,9610.0,9768.0
OPM %,,15.0,15.0,18.0,19.0,23.0,23.0,23.0,22.0,25.0,32.0,31.0,30.0
Other Income,,1642.0,1598.0,1044.0,761.0,376.0,412.0,360.0,986.0,1672.0,1899.0,2571.0,3704.0
Interest,,15.0,6.0,16.0,35.0,177.0,359.0,267.0,65.0,64.0,43.0,22.0,6.0
Depreciation,,806.0,863.0,681.0,947.0,1024.0,998.0,1157.0,1110.0,1784.0,1406.0,1340.0,1354.0
Profit before tax,,3173.0,3207.0,3583.0,3240.0,3742.0,3928.0,4277.0,5231.0,6493.0,10199.0,10820.0,12112.0
Tax %,,25.0,38.0,27.0,39.0,37.0,28.0,24.0,3.0,10.0,26.0,23.0,25.0
Net Profit,,2388.0,1998.0,2616.0,1987.0,2346.0,2832.0,3239.0,5086.0,5811.0,7595.0,8317.0,9076.0
EPS in Rs,,24.77,27.63,36.18,29.72,35.08,42.35,48.44,76.05,86.89,113.57,124.36,135.71
Dividend Payout %,,20.0,31.0,31.0,54.0,28.0,39.0,31.0,26.0,32.0,31.0,32.0,26.0
Sales Growth %,Sales,3.93,6.54,7.11,3.17,8.04,7.15,6.74,7.59,9.37,12.82,1.98,6.81
Exceptional items,Other Income,-1.0,2.0,1.0,0.0,1.0,119.0,2.0,2.0,3.0,6.0,8.0,0.0
Other income normal,Other Income,1644.0,1596.0,1043.0,761.0,375.0,293.0,358.0,985.0,1669.0,1893.0,2564.0,3704.0
Exceptional items AT,Net Profit,-1.0,1.0,1.0,0.0,0.0,83.0,2.0,1.0,2.0,4.0,6.0,0.0
Profit excl Excep,Net Profit,2389.0,1997.0,2615.0,1987.0,2346.0,2749.0,3238.0,5086.0,5809.0,7591.0,8311.0,9076.0
Profit for PE,Net Profit,2389.0,1997.0,2615.0,1987.0,2346.0,2749.0,3238.0,5086.0,5809.0,7591.0,8311.0,9076.0
Profit for EPS,Net Profit,2388.0,1998.0,2616.0,1987.0,2346.0,2832.0,3239.0,5086.0,5811.0,7595.0,8317.0,9076.0
Profit Growth %,Net Profit,-11.0,-16.0,31.0,-24.0,18.0,17.0,18.0,57.0,14.0,31.0,9.0,9.0
