,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,22629.0,29440.0,34098.0,28932.0,34083.0,40844.0
Expenses,,10957.0,13215.0,16583.0,15256.0,16652.0,18764.0
Operating Profit,,11672.0,16225.0,17515.0,13676.0,17431.0,22080.0
OPM %,,52.0,55.0,51.0,47.0,51.0,54.0
Other Income,,1819.0,1082.0,1370.0,1054.0,857.0,1099.0
Interest,,386.0,290.0,333.0,955.0,1095.0,881.0
Depreciation,,2531.0,2917.0,3264.0,3468.0,3640.0,3790.0
Profit before tax,,10574.0,14100.0,15288.0,10307.0,13553.0,18508.0
Tax %,,25.0,32.0,31.0,25.0,24.0,25.0
Net Profit,,7980.0,9629.0,10511.0,7759.0,10353.0,13832.0
EPS in Rs,,18.89,22.79,24.88,18.36,24.5,32.74
Dividend Payout %,,113.0,79.0,303.0,71.0,118.0,0.0
Sales Growth %,Sales,,30.1,15.82,-15.15,17.8,19.84
Material Cost %,Expenses,1.06,-0.94,-0.42,-0.54,-0.19,-0.48
Manufacturing Cost %,Expenses,40.91,40.46,42.84,45.62,41.64,39.47
Employee Cost %,Expenses,3.36,2.44,2.48,2.87,2.61,1.89
Other Cost %,Expenses,3.09,2.93,3.73,4.78,4.8,5.06
Exceptional items,Other Income,346.0,82.0,23.0,17.0,-63.0,42.0
Other income normal,Other Income,1473.0,1000.0,1347.0,1037.0,920.0,1057.0
Exceptional items AT,Net Profit,261.0,56.0,16.0,13.0,-48.0,53.0
Profit excl Excep,Net Profit,7719.0,9573.0,10495.0,7746.0,10401.0,13779.0
Profit for PE,Net Profit,7719.0,9573.0,10495.0,7746.0,10401.0,13779.0
Profit for EPS,Net Profit,7980.0,9629.0,10511.0,7759.0,10353.0,13832.0
Profit Growth %,Net Profit,,24.0,10.0,-26.0,34.0,32.0
