,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,,28154.0,28043.0,27791.0,23027.0,22071.0,20825.0,19938.0,18292.0,20570.0,26426.0,28902.0,28997.0
Interest,,22406.0,21954.0,22040.0,17386.0,16166.0,13847.0,11414.0,9129.0,9139.0,12240.0,14276.0,15486.0
Expenses,,8331.0,14256.0,18019.0,24874.0,31667.0,20025.0,10320.0,9831.0,10071.0,9066.0,8451.0,8332.0
Financing Profit,,-2583.0,-8167.0,-12267.0,-19233.0,-25761.0,-13047.0,-1796.0,-668.0,1360.0,5121.0,6176.0,5180.0
Financing Margin %,,-9.0,-29.0,-44.0,-84.0,-117.0,-63.0,-9.0,-4.0,7.0,19.0,21.0,18.0
Other Income,,4008.0,3411.0,4008.0,7014.0,3300.0,4470.0,4559.0,4690.0,4372.0,3611.0,4924.0,6746.0
Depreciation,,137.0,214.0,359.0,373.0,366.0,391.0,393.0,413.0,494.0,536.0,531.0,0.0
Profit before tax,,1287.0,-4971.0,-8618.0,-12593.0,-22827.0,-8967.0,2369.0,3608.0,5237.0,8195.0,10568.0,11926.0
Tax %,,32.0,-26.0,-40.0,-35.0,-34.0,44.0,43.0,32.0,30.0,31.0,29.0,20.0
Net Profit,,873.0,-3665.0,-5158.0,-8238.0,-15116.0,-12887.0,1359.0,2439.0,3645.0,5634.0,7515.0,9513.0
EPS in Rs,,5.45,-17.8,-25.05,-26.71,-19.54,-12.41,1.26,2.27,3.39,5.24,6.99,8.85
Dividend Payout %,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,29.0,30.0,0.0
Manufacturing Cost %,Expenses,0.82,1.07,0.31,0.35,0.39,0.37,0.43,0.54,0.46,0.48,0.42,0.0
Employee Cost %,Expenses,6.84,6.0,7.93,7.74,9.93,15.52,15.5,16.97,17.12,16.03,14.02,15.03
Other Cost %,Expenses,21.93,43.77,56.59,99.94,133.16,80.27,35.83,36.23,31.38,17.8,14.8,13.7
Exceptional items,Other Income,0.0,-0.0,-1.0,517.0,-73.0,-5.0,-0.0,1.0,-2.0,-1.0,-2.0,0.0
Other income normal,Other Income,4008.0,3411.0,4008.0,6497.0,3373.0,4475.0,4559.0,4689.0,4374.0,3612.0,4926.0,6746.0
