,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1758.0,2220.0,2657.0,2637.0,2801.0,3415.0,4195.0,4438.0,5092.0,5619.0
Expenses,,1657.0,2060.0,2529.0,2514.0,2588.0,3367.0,4031.0,4242.0,4805.0,5303.0
Operating Profit,,102.0,160.0,128.0,123.0,213.0,49.0,164.0,196.0,287.0,317.0
OPM %,,6.0,7.0,5.0,5.0,8.0,1.0,4.0,4.0,6.0,6.0
Other Income,,13.0,16.0,32.0,14.0,22.0,28.0,23.0,32.0,35.0,19.0
Interest,,6.0,7.0,8.0,18.0,34.0,35.0,33.0,31.0,27.0,21.0
Depreciation,,44.0,54.0,58.0,92.0,102.0,115.0,122.0,124.0,132.0,122.0
Profit before tax,,65.0,115.0,94.0,27.0,99.0,-74.0,32.0,73.0,163.0,192.0
Tax %,,20.0,31.0,24.0,4.0,35.0,-35.0,54.0,31.0,27.0,25.0
Net Profit,,52.0,79.0,71.0,26.0,64.0,-48.0,15.0,50.0,119.0,144.0
EPS in Rs,,13.15,19.98,18.0,6.76,15.82,-11.89,3.69,12.43,29.35,35.43
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sales Growth %,Sales,,26.27,19.66,-0.76,6.21,21.94,22.83,5.79,14.73,10.37
Material Cost %,Expenses,58.0,56.0,59.0,57.0,56.0,60.0,61.0,59.0,61.0,61.0
Manufacturing Cost %,Expenses,11.0,11.0,11.0,12.0,7.0,8.0,7.0,7.0,7.0,0.0
Employee Cost %,Expenses,9.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,9.0,8.0
Other Cost %,Expenses,16.0,15.0,15.0,16.0,18.0,19.0,18.0,19.0,18.0,26.0
Exceptional items,Other Income,2.02,10.31,23.0,1.73,0.14,0.07,9.41,11.11,18.16,-13.96
Other income normal,Other Income,11.4,5.36,9.01,12.25,22.22,27.82,13.34,21.26,17.02,33.11
Minority share,Net Profit,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Exceptional items AT,Net Profit,1.0,7.0,16.0,1.0,0.0,0.0,5.0,8.0,12.0,-10.0
Profit excl Excep,Net Profit,50.0,72.0,55.0,24.0,64.0,-48.0,10.0,43.0,107.0,154.0
Profit for PE,Net Profit,52.0,74.0,56.0,26.0,64.0,-48.0,10.0,43.0,107.0,154.0
Profit for EPS,Net Profit,53.0,81.0,73.0,27.0,64.0,-48.0,15.0,50.0,119.0,144.0
Profit Growth %,Net Profit,,43.0,-24.0,-54.0,145.0,-175.0,120.0,336.0,150.0,45.0
