,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,3681.0,3686.0,3815.0,4535.0,5765.0,6485.0,4941.0,7710.0,14133.0,14000.0,14928.0,16168.0
Expenses,,2887.0,2910.0,2851.0,3409.0,4506.0,4949.0,3446.0,5816.0,12089.0,11612.0,12934.0,14324.0
Operating Profit,,794.0,775.0,964.0,1126.0,1259.0,1536.0,1495.0,1894.0,2044.0,2388.0,1994.0,1844.0
OPM %,,22.0,21.0,25.0,25.0,22.0,24.0,30.0,25.0,14.0,17.0,13.0,11.0
Other Income,,31.0,78.0,108.0,153.0,213.0,293.0,240.0,401.0,469.0,596.0,691.0,675.0
Interest,,30.0,10.0,1.0,2.0,2.0,20.0,22.0,25.0,27.0,28.0,26.0,15.0
Depreciation,,149.0,156.0,167.0,181.0,201.0,252.0,290.0,317.0,363.0,414.0,476.0,518.0
Profit before tax,,645.0,687.0,904.0,1096.0,1269.0,1556.0,1422.0,1953.0,2122.0,2542.0,2183.0,1985.0
Tax %,,33.0,33.0,33.0,34.0,34.0,20.0,18.0,23.0,23.0,22.0,22.0,22.0
Net Profit,,448.0,458.0,606.0,722.0,842.0,1249.0,1173.0,1502.0,1640.0,1983.0,1713.0,1544.0
EPS in Rs,,3.2,3.27,4.33,5.16,6.02,8.92,8.38,10.73,11.71,14.18,12.27,11.07
Dividend Payout %,,19.0,18.0,20.0,19.0,20.0,16.0,21.0,26.0,56.0,32.0,57.0,14.0
Sales Growth %,Sales,,0.13,3.5,18.89,27.11,12.5,-23.82,56.05,83.3,-0.94,6.63,8.31
Material Cost %,Expenses,64.0,62.0,55.0,55.0,59.0,57.0,45.0,57.0,74.0,70.0,74.0,77.0
Manufacturing Cost %,Expenses,10.0,11.0,12.0,12.0,12.0,12.0,15.0,11.0,8.0,8.0,8.0,0.0
Employee Cost %,Expenses,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0
Other Cost %,Expenses,3.0,4.0,5.0,5.0,5.0,5.0,7.0,5.0,3.0,3.0,3.0,10.0
Exceptional items,Other Income,-0.0,-1.0,-0.0,42.0,87.0,83.0,12.0,60.0,59.0,53.0,75.0,0.0
Other income normal,Other Income,31.0,78.0,108.0,111.0,127.0,210.0,228.0,341.0,410.0,543.0,616.0,675.0
Profit from Associates,Net Profit,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minority share,Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0
Exceptional items AT,Net Profit,-0.0,-0.0,-0.0,27.0,58.0,65.0,10.0,46.0,46.0,42.0,59.0,0.0
Profit excl Excep,Net Profit,448.0,458.0,606.0,694.0,785.0,1184.0,1163.0,1456.0,1594.0,1942.0,1654.0,1544.0
Profit for PE,Net Profit,448.0,458.0,606.0,694.0,785.0,1184.0,1163.0,1456.0,1594.0,1943.0,1659.0,1550.0
Profit for EPS,Net Profit,448.0,458.0,606.0,722.0,842.0,1249.0,1173.0,1502.0,1640.0,1985.0,1718.0,1550.0
Profit Growth %,Net Profit,,2.0,32.0,14.0,13.0,51.0,-2.0,25.0,9.0,22.0,-15.0,-7.0
