,parent_line_item,Mar 2002,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,,3171.0,16976.0,16736.0,19407.0,24066.0,28144.0,31896.0
Interest,,2203.0,11069.0,10419.0,11146.0,14226.0,17244.0,19322.0
Expenses,,1273.0,10367.0,9270.0,9763.0,11746.0,11538.0,11421.0
Financing Profit,,-305.0,-4461.0,-2954.0,-1503.0,-1906.0,-639.0,1153.0
Financing Margin %,,-10.0,-26.0,-18.0,-8.0,-8.0,-2.0,4.0
Other Income,,536.0,5486.0,4905.0,4116.0,5665.0,5607.0,5847.0
Depreciation,,0.0,258.0,173.0,260.0,336.0,395.0,521.0
Profit before tax,,231.0,767.0,1779.0,2353.0,3423.0,4573.0,6478.0
Tax %,,0.0,1.0,4.0,11.0,22.0,26.0,16.0
Net Profit,,231.0,758.0,1709.0,2104.0,2666.0,3396.0,5418.0
EPS in Rs,,0.46,0.9,1.11,1.41,1.76,2.81,3.09
Dividend Payout %,,23.0,0.0,0.0,0.0,0.0,0.0,0.0
Manufacturing Cost %,Expenses,0.0,0.12,0.14,0.14,0.17,0.17,0.12
Employee Cost %,Expenses,0.0,21.83,20.85,21.14,25.53,16.59,14.7
Other Cost %,Expenses,40.15,39.12,34.41,29.02,23.11,24.23,20.98
Exceptional items,Other Income,0.0,1.0,1.0,2.0,2.0,2.0,2.0
Other income normal,Other Income,536.0,5484.0,4904.0,4115.0,5663.0,5605.0,5845.0
Exceptional items AT,Net Profit,0.0,1.0,1.0,1.0,2.0,2.0,2.0
Profit excl Excep,Net Profit,231.0,757.0,1708.0,2103.0,2664.0,3393.0,5416.0
Profit for PE,Net Profit,231.0,757.0,1708.0,2103.0,2664.0,3393.0,5416.0
Profit for EPS,Net Profit,231.0,758.0,1709.0,2104.0,2666.0,3396.0,5418.0
Profit Growth %,Net Profit,,,126.0,23.0,27.0,27.0,60.0
