,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,2093.0,2438.0,2583.0,3018.0,3563.0,3927.0,3312.0,4396.0,5158.0,5655.0,8142.0,9513.0
Expenses,,1836.0,2173.0,2339.0,2576.0,2961.0,3045.0,2532.0,3290.0,4022.0,4496.0,6560.0,7625.0
Operating Profit,,256.0,265.0,245.0,442.0,603.0,883.0,780.0,1106.0,1136.0,1159.0,1582.0,1888.0
OPM %,,12.0,11.0,9.0,15.0,17.0,22.0,24.0,25.0,22.0,20.0,19.0,20.0
Other Income,,6.0,10.0,-1.0,21.0,44.0,38.0,64.0,26.0,40.0,211.0,42.0,106.0
Interest,,0.0,0.0,0.0,0.0,0.0,165.0,163.0,176.0,201.0,288.0,523.0,436.0
Depreciation,,101.0,128.0,155.0,160.0,157.0,352.0,375.0,393.0,486.0,598.0,807.0,959.0
Profit before tax,,161.0,147.0,88.0,303.0,490.0,403.0,306.0,563.0,489.0,485.0,294.0,599.0
Tax %,,31.0,34.0,35.0,35.0,35.0,31.0,25.0,26.0,28.0,18.0,26.0,26.0
Net Profit,,111.0,97.0,58.0,196.0,318.0,279.0,231.0,418.0,353.0,400.0,217.0,444.0
EPS in Rs,,1.69,1.47,0.88,2.97,4.85,4.24,3.51,6.37,5.35,6.05,3.19,6.49
Dividend Payout %,,15.0,17.0,29.0,17.0,21.0,28.0,34.0,19.0,22.0,20.0,38.0,18.0
Sales Growth %,Sales,20.53,16.5,5.96,16.84,18.05,10.22,-15.67,32.74,17.34,9.63,43.97,16.84
Material Cost %,Expenses,25.22,23.79,24.42,25.38,24.87,25.04,21.93,22.52,24.19,23.71,27.85,28.49
Manufacturing Cost %,Expenses,12.41,12.16,12.4,11.57,11.28,10.67,12.36,11.49,12.26,12.79,11.32,0.0
Employee Cost %,Expenses,21.24,23.66,23.06,20.38,19.18,20.32,22.6,17.52,17.61,18.76,17.34,17.06
Other Cost %,Expenses,28.87,29.5,30.66,28.03,27.75,21.5,19.55,23.3,23.92,24.23,24.05,34.61
Exceptional items,Other Income,-1.0,-2.0,-16.0,-2.0,-3.0,-32.0,-9.0,-15.0,-11.0,155.0,-34.0,24.0
Other income normal,Other Income,7.0,12.0,15.0,23.0,47.0,70.0,73.0,41.0,50.0,57.0,75.0,81.0
Minority share,Net Profit,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,-1.0,-6.0,-16.0
Exceptional items AT,Net Profit,-1.0,-1.0,-10.0,-1.0,-2.0,-22.0,-6.0,-11.0,-8.0,126.0,-11.0,13.0
Profit excl Excep,Net Profit,112.0,98.0,67.0,197.0,320.0,301.0,237.0,429.0,361.0,274.0,228.0,431.0
Profit for PE,Net Profit,112.0,98.0,67.0,197.0,322.0,302.0,238.0,432.0,361.0,273.0,221.0,416.0
Profit for EPS,Net Profit,111.0,97.0,58.0,196.0,320.0,280.0,232.0,420.0,353.0,399.0,211.0,428.0
Profit Growth %,Net Profit,-6.0,-12.0,-31.0,193.0,63.0,-6.0,-21.0,82.0,-16.0,-24.0,-19.0,88.0
