,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,10505.0,9771.0,10101.0,8573.0,10818.0,14071.0,18516.0,25045.0,35743.0
Expenses,,9732.0,9151.0,9302.0,7949.0,9965.0,12906.0,17180.0,23461.0,33252.0
Operating Profit,,774.0,620.0,799.0,624.0,853.0,1165.0,1335.0,1585.0,2491.0
OPM %,,7.0,6.0,8.0,7.0,8.0,8.0,7.0,6.0,7.0
Other Income,,32.0,42.0,80.0,45.0,38.0,5.0,106.0,140.0,167.0
Interest,,390.0,418.0,419.0,405.0,360.0,353.0,379.0,422.0,433.0
Depreciation,,202.0,224.0,239.0,225.0,232.0,245.0,274.0,343.0,423.0
Profit before tax,,214.0,21.0,221.0,39.0,299.0,572.0,789.0,960.0,1802.0
Tax %,,34.0,123.0,36.0,115.0,25.0,24.0,24.0,26.0,25.0
Net Profit,,141.0,-5.0,142.0,-6.0,224.0,432.0,596.0,714.0,1350.0
EPS in Rs,,1.7,-0.04,1.7,-0.06,2.18,4.2,5.8,6.93,13.08
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,12.0,21.0,22.0,19.0
Sales Growth %,Sales,,-6.99,3.38,-15.12,26.18,30.08,31.58,35.27,42.71
Material Cost %,Expenses,84.0,84.0,83.0,83.0,84.0,84.0,86.0,87.0,87.0
Manufacturing Cost %,Expenses,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Employee Cost %,Expenses,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0
Other Cost %,Expenses,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0
Exceptional items,Other Income,25.0,-1.0,2.0,0.0,0.0,-33.0,1.0,-4.0,-42.0
Other income normal,Other Income,7.0,43.0,79.0,45.0,38.0,37.0,105.0,144.0,208.0
Minority share,Net Profit,1.0,1.0,1.0,-0.0,0.0,1.0,1.0,1.0,0.0
Exceptional items AT,Net Profit,16.0,0.0,1.0,-0.0,0.0,-24.0,1.0,-2.0,-28.0
Profit excl Excep,Net Profit,125.0,-5.0,141.0,-6.0,224.0,456.0,595.0,717.0,1378.0
Profit for PE,Net Profit,126.0,-4.0,142.0,-6.0,224.0,457.0,596.0,717.0,1378.0
Profit for EPS,Net Profit,142.0,-4.0,143.0,-6.0,224.0,433.0,597.0,715.0,1350.0
Profit Growth %,Net Profit,,-103.0,3849.0,-104.0,3707.0,104.0,30.0,20.0,92.0
