,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,485.0,536.0,628.0,707.0,790.0,933.0,1143.0,1132.0,1222.0,1384.0,1702.0
Expenses,,380.0,422.0,562.0,652.0,584.0,624.0,740.0,768.0,857.0,963.0,1234.0
Operating Profit,,104.0,114.0,66.0,55.0,206.0,309.0,403.0,364.0,366.0,421.0,468.0
OPM %,,22.0,21.0,10.0,8.0,26.0,33.0,35.0,32.0,30.0,30.0,28.0
Other Income,,4.0,3.0,3.0,6.0,7.0,8.0,21.0,23.0,18.0,68.0,50.0
Interest,,36.0,32.0,88.0,33.0,24.0,18.0,9.0,5.0,7.0,28.0,79.0
Depreciation,,34.0,34.0,38.0,41.0,43.0,45.0,45.0,45.0,58.0,58.0,86.0
Profit before tax,,38.0,51.0,-57.0,-13.0,147.0,254.0,371.0,337.0,318.0,403.0,353.0
Tax %,,37.0,37.0,43.0,225.0,17.0,26.0,25.0,25.0,26.0,25.0,26.0
Net Profit,,24.0,33.0,-81.0,-44.0,121.0,189.0,278.0,252.0,235.0,303.0,261.0
EPS in Rs,,0.69,0.91,-2.27,-1.17,3.25,4.86,6.96,6.31,5.88,7.57,6.52
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sales Growth %,Sales,,10.47,17.27,12.52,11.75,18.07,22.59,-0.99,7.96,13.26,22.93
Exceptional items,Other Income,0.0,0.0,0.0,-0.0,-0.0,-1.0,-3.0,1.0,2.0,26.0,-7.0
Other income normal,Other Income,4.0,3.0,3.0,6.0,7.0,10.0,24.0,22.0,16.0,41.0,57.0
