,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,904.0,1192.0,1642.0,2070.0,2292.0,2452.0,2904.0,3606.0,4062.0,4429.0,4753.0,2698.0
Expenses,,778.0,1019.0,1378.0,1620.0,1754.0,1829.0,2205.0,2804.0,3145.0,3380.0,3144.0,1987.0
Operating Profit,,127.0,172.0,264.0,449.0,538.0,623.0,699.0,802.0,918.0,1049.0,1610.0,711.0
OPM %,,14.0,14.0,16.0,22.0,23.0,25.0,24.0,22.0,23.0,24.0,34.0,26.0
Other Income,,14.0,46.0,30.0,55.0,75.0,66.0,144.0,78.0,98.0,162.0,172.0,65.0
Interest,,14.0,57.0,73.0,82.0,90.0,111.0,133.0,151.0,153.0,106.0,208.0,212.0
Depreciation,,55.0,71.0,116.0,194.0,230.0,254.0,190.0,165.0,181.0,157.0,314.0,59.0
Profit before tax,,71.0,90.0,106.0,228.0,292.0,324.0,520.0,563.0,681.0,948.0,1260.0,505.0
Tax %,,-0.0,-24.0,7.0,-0.0,9.0,21.0,26.0,35.0,36.0,21.0,20.0,17.0
Net Profit,,70.0,112.0,99.0,229.0,265.0,256.0,383.0,366.0,439.0,752.0,1002.0,437.0
EPS in Rs,,2.48,3.99,4.09,8.66,9.62,9.44,14.49,13.58,16.29,27.64,35.62,15.54
Dividend Payout %,,4.0,5.0,6.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0
Sales Growth %,Sales,1.05,31.76,37.8,26.03,10.72,6.99,18.43,24.18,12.66,9.04,7.31,-43.24
Material Cost %,Expenses,37.21,26.14,22.18,24.78,28.04,30.73,31.91,32.74,36.79,37.48,30.85,28.55
Manufacturing Cost %,Expenses,39.92,53.29,54.02,47.3,42.55,36.38,36.95,35.42,34.04,32.52,29.17,0.0
Employee Cost %,Expenses,4.24,3.9,3.58,3.59,4.15,5.19,4.6,4.06,4.3,3.94,3.74,5.64
Other Cost %,Expenses,4.6,2.21,4.11,2.62,1.8,2.29,2.47,5.54,2.28,2.37,2.38,39.45
Exceptional items,Other Income,3.0,-1.0,-6.0,6.0,10.0,-7.0,86.0,24.0,65.0,4.0,-126.0,0.0
Other income normal,Other Income,11.0,46.0,36.0,49.0,65.0,73.0,58.0,53.0,33.0,158.0,298.0,65.0
Profit from Associates,Net Profit,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Minority share,Net Profit,0.0,0.0,16.0,15.0,6.0,10.0,25.0,15.0,19.0,25.0,0.0,0.0
Exceptional items AT,Net Profit,2.0,-0.0,-5.0,5.0,8.0,-5.0,63.0,16.0,45.0,3.0,-101.0,0.0
Profit excl Excep,Net Profit,68.0,113.0,104.0,224.0,257.0,261.0,320.0,350.0,395.0,749.0,1103.0,437.0
Profit for PE,Net Profit,68.0,113.0,120.0,239.0,263.0,270.0,345.0,365.0,413.0,774.0,1103.0,437.0
Profit for EPS,Net Profit,70.0,112.0,115.0,243.0,271.0,266.0,407.0,382.0,458.0,777.0,1002.0,437.0
Profit Growth %,Net Profit,15.0,66.0,7.0,98.0,10.0,3.0,27.0,6.0,13.0,87.0,42.0,-60.0
