,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,7152.0,7142.0,7446.0,8709.0,10840.0,12676.0,12949.0,14777.0,16361.0,19626.0,22316.0,27143.0
Expenses,,6412.0,6305.0,6525.0,7609.0,9426.0,11133.0,11376.0,13482.0,14872.0,17812.0,20285.0,24711.0
Operating Profit,,740.0,838.0,921.0,1100.0,1414.0,1543.0,1574.0,1295.0,1490.0,1814.0,2031.0,2432.0
OPM %,,10.0,12.0,12.0,13.0,13.0,12.0,12.0,9.0,9.0,9.0,9.0,9.0
Other Income,,25.0,-18.0,24.0,25.0,44.0,48.0,277.0,274.0,165.0,64.0,62.0,141.0
Interest,,373.0,462.0,469.0,473.0,486.0,603.0,532.0,522.0,621.0,704.0,774.0,693.0
Depreciation,,168.0,186.0,181.0,192.0,211.0,340.0,373.0,351.0,392.0,473.0,497.0,510.0
Profit before tax,,224.0,171.0,295.0,461.0,761.0,648.0,945.0,696.0,642.0,701.0,823.0,1371.0
Tax %,,48.0,56.0,47.0,40.0,36.0,40.0,30.0,23.0,32.0,26.0,31.0,25.0
Net Profit,,115.0,76.0,157.0,278.0,487.0,390.0,662.0,535.0,435.0,516.0,567.0,1031.0
EPS in Rs,,7.84,7.17,12.15,18.29,30.41,25.18,45.06,36.28,27.13,31.37,34.3,60.9
Dividend Payout %,,19.0,21.0,16.0,14.0,10.0,14.0,22.0,18.0,26.0,26.0,26.0,18.0
Sales Growth %,Sales,1.34,-0.13,4.25,16.96,24.47,16.93,2.16,14.12,10.72,19.96,13.7,21.63
Material Cost %,Expenses,40.79,40.01,39.54,43.01,41.28,41.56,36.75,43.62,42.6,41.81,38.45,34.41
Manufacturing Cost %,Expenses,32.93,33.24,32.25,29.41,32.51,32.38,36.67,32.59,33.73,34.28,38.17,41.21
Employee Cost %,Expenses,7.65,7.79,7.44,7.39,7.27,7.89,8.09,8.84,8.9,8.79,9.51,9.79
Other Cost %,Expenses,8.28,7.23,8.41,7.56,5.88,6.0,6.34,6.18,5.67,5.87,4.77,5.63
Exceptional items,Other Income,2.0,3.0,2.0,4.0,-3.0,5.0,218.0,204.0,84.0,-2.0,9.0,47.0
Other income normal,Other Income,23.0,-21.0,22.0,21.0,48.0,43.0,59.0,70.0,81.0,66.0,54.0,94.0
Minority share,Net Profit,5.0,34.0,29.0,2.0,-20.0,0.0,9.0,5.0,6.0,-6.0,18.0,9.0
Exceptional items AT,Net Profit,1.0,0.0,1.0,2.0,-2.0,3.0,148.0,148.0,49.0,-1.0,12.0,61.0
Profit excl Excep,Net Profit,114.0,75.0,157.0,276.0,489.0,387.0,514.0,388.0,386.0,517.0,555.0,969.0
Profit for PE,Net Profit,119.0,110.0,186.0,278.0,469.0,387.0,523.0,393.0,391.0,511.0,573.0,979.0
Profit for EPS,Net Profit,120.0,110.0,186.0,281.0,467.0,390.0,671.0,540.0,441.0,510.0,586.0,1040.0
Profit Growth %,Net Profit,2.0,-8.0,69.0,50.0,68.0,-17.0,35.0,-25.0,-0.0,31.0,12.0,71.0
