,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,660.0,791.0,912.0,1057.0,1203.0,1330.0,1581.0,2087.0,2017.0,2227.0,2461.0,2763.0
Expenses,,504.0,582.0,675.0,793.0,910.0,987.0,1145.0,1526.0,1527.0,1617.0,1764.0,1979.0
Operating Profit,,156.0,210.0,238.0,264.0,294.0,344.0,436.0,561.0,490.0,609.0,698.0,783.0
OPM %,,24.0,26.0,26.0,25.0,24.0,26.0,28.0,27.0,24.0,27.0,28.0,28.0
Other Income,,12.0,20.0,27.0,31.0,46.0,55.0,51.0,52.0,42.0,69.0,91.0,70.0
Interest,,0.0,0.0,1.0,1.0,1.0,15.0,16.0,30.0,38.0,29.0,22.0,23.0
Depreciation,,28.0,28.0,28.0,33.0,38.0,73.0,77.0,108.0,150.0,144.0,142.0,162.0
Profit before tax,,140.0,201.0,237.0,261.0,301.0,310.0,394.0,475.0,344.0,505.0,625.0,669.0
Tax %,,31.0,34.0,34.0,34.0,33.0,27.0,25.0,26.0,30.0,28.0,21.0,24.0
Net Profit,,96.0,133.0,156.0,172.0,200.0,228.0,296.0,350.0,241.0,362.0,492.0,510.0
EPS in Rs,,8.75,7.99,9.31,10.24,11.95,13.55,17.49,20.69,14.33,21.42,29.14,30.13
Dividend Payout %,,9.0,15.0,16.0,22.0,25.0,44.0,57.0,29.0,42.0,0.0,41.0,68.0
Sales Growth %,Sales,18.22,19.97,15.3,15.84,13.86,10.55,18.86,32.01,-3.38,10.4,10.54,12.25
Material Cost %,Expenses,21.1,21.85,21.6,21.39,21.8,22.45,25.12,24.06,22.17,20.27,19.56,19.35
Manufacturing Cost %,Expenses,16.28,16.48,16.36,17.01,15.95,16.63,16.23,17.21,18.65,18.45,17.98,18.53
Employee Cost %,Expenses,20.37,17.36,16.76,17.19,17.4,18.35,17.4,17.57,18.67,19.07,18.52,18.21
Other Cost %,Expenses,18.59,17.8,19.21,19.42,20.45,16.75,13.64,14.27,16.22,14.84,15.6,15.55
Exceptional items,Other Income,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,-1.0,1.0,-0.0,6.0,-23.0
Other income normal,Other Income,12.0,20.0,28.0,30.0,46.0,55.0,51.0,53.0,41.0,69.0,85.0,93.0
Minority share,Net Profit,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-5.0,-5.0,-2.0,-5.0,-5.0,-5.0
Exceptional items AT,Net Profit,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,-0.0,1.0,-0.0,4.0,-17.0
Profit excl Excep,Net Profit,96.0,133.0,156.0,171.0,200.0,227.0,297.0,351.0,241.0,362.0,488.0,527.0
Profit for PE,Net Profit,96.0,132.0,155.0,170.0,199.0,226.0,292.0,345.0,238.0,358.0,483.0,522.0
Profit for EPS,Net Profit,96.0,132.0,155.0,171.0,199.0,226.0,292.0,345.0,239.0,358.0,487.0,505.0
Profit Growth %,Net Profit,19.0,38.0,17.0,10.0,17.0,13.0,29.0,18.0,-31.0,50.0,35.0,8.0
