,parent_line_item,Mar 2025,Mar 2026
Sales,,771.0,1367.0
Expenses,,584.0,1005.0
Operating Profit,,186.0,361.0
OPM %,,24.0,26.0
Other Income,,21.0,10.0
Interest,,39.0,38.0
Depreciation,,22.0,26.0
Profit before tax,,146.0,308.0
Tax %,,25.0,27.0
Net Profit,,110.0,225.0
EPS in Rs,,18.42,37.67
Dividend Payout %,,3.0,2.0
Sales Growth %,Sales,,77.0
Material Cost %,Expenses,50.0,54.0
Manufacturing Cost %,Expenses,9.0,0.0
Employee Cost %,Expenses,6.0,5.0
Other Cost %,Expenses,10.0,15.0
Exceptional items,Other Income,0.09,0.0
Other income normal,Other Income,20.91,10.35
Exceptional items AT,Net Profit,0.0,0.0
Profit excl Excep,Net Profit,110.0,225.0
Profit for PE,Net Profit,110.0,225.0
Profit for EPS,Net Profit,110.0,225.0
Profit Growth %,Net Profit,,105.0
