,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,5795.0,6081.0,6076.0,6546.0,7731.0,8844.0,9722.0,11961.0,13798.0,13279.0,14230.0,15880.0
Expenses,,4925.0,5218.0,5108.0,5483.0,6407.0,7193.0,7919.0,9844.0,11365.0,10857.0,11583.0,12901.0
Operating Profit,,870.0,863.0,969.0,1062.0,1324.0,1650.0,1803.0,2118.0,2434.0,2422.0,2647.0,2978.0
OPM %,,15.0,14.0,16.0,16.0,17.0,19.0,19.0,18.0,18.0,18.0,19.0,19.0
Other Income,,194.0,172.0,223.0,149.0,177.0,178.0,133.0,160.0,162.0,218.0,255.0,290.0
Interest,,28.0,24.0,14.0,13.0,17.0,81.0,63.0,74.0,97.0,161.0,166.0,204.0
Depreciation,,98.0,121.0,79.0,71.0,76.0,232.0,242.0,291.0,325.0,410.0,476.0,555.0
Profit before tax,,938.0,890.0,1099.0,1128.0,1407.0,1515.0,1631.0,1913.0,2173.0,2068.0,2260.0,2509.0
Tax %,,28.0,29.0,28.0,26.0,24.0,22.0,25.0,25.0,25.0,25.0,25.0,26.0
Net Profit,,675.0,632.0,792.0,838.0,1073.0,1185.0,1217.0,1431.0,1638.0,1555.0,1702.0,1863.0
EPS in Rs,,32.1,30.05,37.62,43.34,57.64,63.52,65.06,76.19,86.94,82.27,89.55,97.61
Dividend Payout %,,50.0,67.0,45.0,46.0,47.0,55.0,100.0,60.0,58.0,67.0,64.0,64.0
Sales Growth %,Sales,123.41,4.93,-0.07,7.73,18.11,14.39,9.94,23.03,15.36,-3.77,7.17,11.59
Material Cost %,Expenses,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manufacturing Cost %,Expenses,9.0,9.0,9.0,12.0,15.0,18.0,17.0,18.0,18.0,16.0,17.0,19.0
Employee Cost %,Expenses,62.0,61.0,61.0,58.0,56.0,56.0,58.0,59.0,59.0,60.0,57.0,56.0
Other Cost %,Expenses,14.0,15.0,14.0,13.0,13.0,7.0,7.0,5.0,5.0,6.0,7.0,7.0
Exceptional items,Other Income,28.0,-19.0,-12.0,-13.0,3.0,2.0,0.0,11.0,16.0,17.0,2.0,-34.0
Other income normal,Other Income,166.0,191.0,236.0,162.0,174.0,176.0,133.0,150.0,146.0,201.0,253.0,325.0
Exceptional items AT,Net Profit,20.0,-14.0,-9.0,-9.0,2.0,1.0,0.0,8.0,12.0,12.0,1.0,-25.0
Profit excl Excep,Net Profit,655.0,645.0,800.0,847.0,1071.0,1184.0,1216.0,1423.0,1626.0,1543.0,1701.0,1888.0
Profit for PE,Net Profit,655.0,645.0,800.0,847.0,1071.0,1184.0,1216.0,1423.0,1626.0,1543.0,1701.0,1888.0
Profit for EPS,Net Profit,675.0,632.0,792.0,838.0,1073.0,1185.0,1217.0,1431.0,1638.0,1555.0,1702.0,1863.0
Profit Growth %,Net Profit,112.0,-1.0,24.0,6.0,27.0,10.0,3.0,17.0,14.0,-5.0,10.0,11.0
