,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,592.0,680.0,742.0,913.0,996.0,1062.0,1179.0,1453.0,2077.0,2065.0,2349.0,3314.0
Expenses,,519.0,561.0,582.0,693.0,777.0,794.0,870.0,1098.0,1527.0,1666.0,1816.0,2232.0
Operating Profit,,72.0,118.0,159.0,220.0,219.0,268.0,309.0,356.0,550.0,399.0,534.0,1082.0
OPM %,,12.0,17.0,21.0,24.0,22.0,25.0,26.0,24.0,26.0,19.0,23.0,33.0
Other Income,,29.0,23.0,55.0,88.0,34.0,29.0,94.0,38.0,36.0,107.0,44.0,58.0
Interest,,3.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,28.0,75.0,78.0,118.0
Depreciation,,20.0,22.0,30.0,40.0,28.0,37.0,44.0,48.0,63.0,96.0,119.0,149.0
Profit before tax,,78.0,116.0,182.0,266.0,224.0,258.0,358.0,344.0,496.0,336.0,380.0,873.0
Tax %,,26.0,28.0,25.0,32.0,34.0,-56.0,31.0,24.0,24.0,19.0,24.0,24.0
Net Profit,,58.0,84.0,137.0,180.0,149.0,409.0,258.0,263.0,375.0,270.0,289.0,664.0
EPS in Rs,,11.18,17.08,27.88,36.43,30.15,82.57,52.02,53.09,75.68,54.56,58.19,129.46
Dividend Payout %,,29.0,25.0,23.0,27.0,26.0,13.0,21.0,21.0,16.0,27.0,12.0,7.0
Sales Growth %,Sales,21.65,14.9,9.1,23.09,9.12,6.59,11.1,23.23,42.94,-0.6,13.77,41.05
Material Cost %,Expenses,48.86,45.77,40.85,41.39,44.85,42.76,43.3,43.47,41.72,43.71,42.99,40.57
Manufacturing Cost %,Expenses,15.38,13.78,18.17,16.44,15.7,14.52,13.52,14.79,14.46,16.35,16.27,13.71
Employee Cost %,Expenses,12.52,11.86,12.44,12.15,11.64,12.35,12.04,12.52,12.03,13.84,12.65,9.29
Other Cost %,Expenses,10.98,11.15,7.06,5.92,5.83,5.14,4.9,4.75,5.3,6.77,5.37,3.78
Exceptional items,Other Income,9.11,2.55,7.95,-5.0,3.07,4.06,17.65,-0.75,11.01,51.24,22.7,12.4
Other income normal,Other Income,20.13,20.82,47.32,92.51,30.73,24.93,76.76,39.13,24.69,55.85,21.03,46.07
Profit from Associates,Net Profit,0.0,0.0,-0.0,-3.0,2.0,7.0,10.0,-0.0,-0.0,-0.0,-0.0,-0.0
Minority share,Net Profit,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exceptional items AT,Net Profit,7.0,2.0,6.0,-3.0,2.0,3.0,12.0,-1.0,8.0,37.0,28.0,15.0
Profit excl Excep,Net Profit,52.0,82.0,131.0,183.0,147.0,406.0,246.0,264.0,367.0,233.0,260.0,648.0
Profit for PE,Net Profit,48.0,82.0,131.0,183.0,147.0,406.0,246.0,264.0,367.0,233.0,260.0,648.0
Profit for EPS,Net Profit,55.0,84.0,137.0,180.0,149.0,409.0,258.0,263.0,375.0,270.0,289.0,664.0
Profit Growth %,Net Profit,-16.0,69.0,60.0,40.0,-20.0,176.0,-39.0,7.0,39.0,-36.0,12.0,149.0
