,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,574.0,1111.0,1768.0,2441.0,3774.0,5144.0,6386.0,7950.0,10022.0
Expenses,,601.0,1091.0,1685.0,2283.0,3610.0,4887.0,6039.0,7475.0,9270.0
Operating Profit,,-27.0,21.0,83.0,158.0,164.0,257.0,347.0,475.0,752.0
OPM %,,-4.6,1.9,4.7,6.0,4.3,5.0,5.0,6.0,8.0
Other Income,,4.0,5.0,10.0,12.0,27.0,30.0,30.0,27.0,15.0
Interest,,7.0,27.0,46.0,32.0,47.0,76.0,84.0,108.0,117.0
Depreciation,,7.0,31.0,60.0,72.0,96.0,173.0,224.0,266.0,320.0
Profit before tax,,-37.0,-32.0,-12.0,66.0,47.0,38.0,69.0,127.0,330.0
Tax %,,-25.0,-23.0,31.0,7.0,13.0,35.0,37.0,42.0,38.0
Net Profit,,-28.0,-25.0,-16.0,62.0,41.0,21.0,40.0,72.0,204.0
EPS in Rs,,-3.47,-2.87,-1.9,6.82,0.14,0.07,0.11,0.23,0.7
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sales Growth %,Sales,,93.5,59.04,38.1,54.61,36.3,24.14,24.5,26.07
Material Cost %,Expenses,66.0,59.0,57.0,61.0,56.0,56.0,57.0,56.0,55.0
Manufacturing Cost %,Expenses,5.0,5.0,4.0,6.0,6.0,4.0,3.0,3.0,0.0
Employee Cost %,Expenses,10.0,11.0,11.0,10.0,9.0,10.0,9.0,8.0,8.0
Other Cost %,Expenses,25.0,24.0,23.0,17.0,24.0,26.0,25.0,26.0,30.0
Exceptional items,Other Income,3.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.4
Other income normal,Other Income,0.58,4.99,10.32,11.76,26.97,30.21,29.94,27.26,32.77
Profit from Associates,Net Profit,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,-2.0,0.0
Minority share,Net Profit,0.0,0.0,-0.0,-0.0,-0.0,-2.0,-7.0,-6.0,-4.0
Exceptional items AT,Net Profit,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0
Profit excl Excep,Net Profit,-31.0,-25.0,-16.0,62.0,41.0,21.0,40.0,72.0,214.0
Profit for PE,Net Profit,-31.0,-25.0,-17.0,62.0,41.0,19.0,32.0,66.0,209.0
Profit for EPS,Net Profit,-28.0,-25.0,-17.0,62.0,41.0,19.0,32.0,66.0,199.0
Profit Growth %,Net Profit,,22.0,32.0,471.0,-33.0,-53.0,68.0,105.0,217.0
