,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,4844.0,5361.0,5617.0,6078.0,7078.0,7294.0,7293.0,9921.0,11799.0,12383.0,13140.0,14601.0
Expenses,,4073.0,4188.0,4355.0,4737.0,5707.0,5718.0,5606.0,8065.0,9813.0,9675.0,10130.0,11080.0
Operating Profit,,771.0,1173.0,1262.0,1341.0,1371.0,1576.0,1686.0,1856.0,1986.0,2708.0,3011.0,3521.0
OPM %,,16.0,22.0,22.0,22.0,19.0,22.0,23.0,19.0,17.0,22.0,23.0,24.0
Other Income,,40.0,81.0,115.0,153.0,130.0,97.0,74.0,39.0,55.0,63.0,221.0,248.0
Interest,,16.0,13.0,14.0,16.0,26.0,34.0,37.0,42.0,48.0,51.0,50.0,54.0
Depreciation,,118.0,100.0,115.0,120.0,133.0,170.0,201.0,240.0,270.0,341.0,358.0,395.0
Profit before tax,,678.0,1141.0,1248.0,1359.0,1342.0,1470.0,1522.0,1614.0,1723.0,2379.0,2823.0,3320.0
Tax %,,25.0,29.0,31.0,29.0,31.0,24.0,26.0,25.0,25.0,27.0,26.0,26.0
Net Profit,,514.0,807.0,863.0,966.0,928.0,1122.0,1126.0,1207.0,1289.0,1747.0,2096.0,2471.0
EPS in Rs,,5.0,7.83,8.39,9.48,9.1,10.99,11.13,11.88,12.52,17.0,20.41,24.06
Dividend Payout %,,29.0,26.0,28.0,32.0,36.0,32.0,38.0,42.0,44.0,47.0,49.0,48.0
Sales Growth %,Sales,13.1,10.67,4.77,8.22,16.44,3.06,-0.02,36.04,18.93,4.95,6.12,11.11
Material Cost %,Expenses,55.09,48.21,46.99,47.51,50.67,46.64,46.3,54.88,57.29,48.41,45.63,44.44
Manufacturing Cost %,Expenses,7.81,7.36,1.96,2.77,2.68,3.02,4.05,3.9,3.62,4.2,5.1,4.97
Employee Cost %,Expenses,10.37,10.68,11.49,11.73,11.83,12.72,13.46,11.22,10.56,11.84,13.26,13.3
Other Cost %,Expenses,10.81,11.86,17.09,15.93,15.46,16.01,13.06,11.29,11.7,13.69,13.09,13.16
Exceptional items,Other Income,10.0,0.0,-2.0,7.0,-20.0,-53.0,-9.0,-9.0,1.0,-73.0,-23.0,-18.0
Other income normal,Other Income,31.0,81.0,118.0,146.0,150.0,150.0,83.0,48.0,54.0,135.0,244.0,266.0
Profit from Associates,Net Profit,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minority share,Net Profit,-1.0,-4.0,-3.0,-4.0,-3.0,-6.0,5.0,1.0,-16.0,-18.0,-20.0,-22.0
Exceptional items AT,Net Profit,7.0,0.0,-1.0,5.0,-14.0,-39.0,-7.0,-7.0,0.0,-53.0,-17.0,-14.0
Profit excl Excep,Net Profit,506.0,807.0,865.0,961.0,942.0,1161.0,1133.0,1214.0,1288.0,1801.0,2113.0,2484.0
Profit for PE,Net Profit,505.0,803.0,861.0,958.0,939.0,1155.0,1138.0,1214.0,1273.0,1782.0,2093.0,2462.0
Profit for EPS,Net Profit,513.0,803.0,860.0,962.0,925.0,1116.0,1131.0,1208.0,1273.0,1729.0,2076.0,2449.0
Profit Growth %,Net Profit,14.0,59.0,7.0,11.0,-2.0,23.0,-1.0,7.0,5.0,40.0,17.0,18.0
