,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1861.0,2837.0,2252.0,2411.0,3774.0,5603.0,5788.0,7208.0,7956.0,8650.0,6769.0,5368.0
Expenses,,1581.0,2214.0,1647.0,1648.0,2768.0,4275.0,4366.0,5674.0,6356.0,6645.0,4703.0,4231.0
Operating Profit,,280.0,622.0,605.0,763.0,1007.0,1328.0,1422.0,1534.0,1600.0,2005.0,2066.0,1137.0
OPM %,,15.0,22.0,27.0,32.0,27.0,24.0,25.0,21.0,20.0,23.0,31.0,21.0
Other Income,,12.0,12.0,39.0,24.0,47.0,182.0,107.0,87.0,81.0,82.0,172.0,634.0
Interest,,93.0,257.0,310.0,309.0,348.0,439.0,426.0,425.0,470.0,660.0,852.0,582.0
Depreciation,,60.0,213.0,242.0,262.0,346.0,351.0,363.0,390.0,253.0,177.0,195.0,122.0
Profit before tax,,139.0,164.0,92.0,216.0,360.0,719.0,740.0,806.0,957.0,1249.0,1192.0,1067.0
Tax %,,34.0,-27.0,-28.0,-12.0,2.0,24.0,33.0,28.0,31.0,27.0,32.0,22.0
Net Profit,,91.0,209.0,118.0,243.0,351.0,550.0,497.0,580.0,658.0,909.0,815.0,832.0
EPS in Rs,,4.59,8.13,4.61,9.47,13.7,21.43,19.39,22.62,25.67,35.45,31.79,32.42
Dividend Payout %,,7.0,6.0,11.0,5.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
Sales Growth %,Sales,36.83,52.44,-20.6,7.06,56.52,48.44,3.3,24.54,10.38,8.72,-21.75,-20.69
Material Cost %,Expenses,33.0,32.0,37.0,35.0,39.0,39.0,39.0,44.0,42.0,39.0,30.0,63.0
Manufacturing Cost %,Expenses,34.0,37.0,21.0,19.0,20.0,24.0,25.0,20.0,26.0,31.0,30.0,0.0
Employee Cost %,Expenses,4.0,3.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,6.0,7.0
Other Cost %,Expenses,13.0,5.0,9.0,9.0,9.0,8.0,7.0,9.0,7.0,3.0,3.0,10.0
Exceptional items,Other Income,1.0,11.0,2.0,9.0,27.0,22.0,42.0,33.0,25.0,26.0,59.0,492.0
Other income normal,Other Income,11.0,1.0,37.0,15.0,20.0,160.0,65.0,54.0,56.0,55.0,113.0,141.0
Profit from Associates,Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Minority share,Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Exceptional items AT,Net Profit,1.0,9.0,1.0,7.0,20.0,16.0,28.0,24.0,17.0,18.0,40.0,384.0
Profit excl Excep,Net Profit,91.0,200.0,117.0,236.0,332.0,534.0,469.0,557.0,641.0,891.0,776.0,448.0
Profit for PE,Net Profit,91.0,200.0,117.0,236.0,332.0,534.0,469.0,556.0,641.0,891.0,776.0,448.0
Profit for EPS,Net Profit,91.0,209.0,118.0,243.0,351.0,550.0,497.0,580.0,658.0,909.0,815.0,832.0
Profit Growth %,Net Profit,64.0,121.0,-41.0,102.0,40.0,61.0,-12.0,19.0,15.0,39.0,-13.0,-42.0
