,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1477.0,1850.0,2119.0,2334.0,3086.0,3414.0,280.0,1329.0,3751.0,6107.0,5780.0,6646.0
Expenses,,1271.0,1551.0,1799.0,1933.0,2499.0,2338.0,616.0,1224.0,2703.0,4297.0,4238.0,4551.0
Operating Profit,,206.0,299.0,320.0,401.0,587.0,1076.0,-336.0,105.0,1048.0,1810.0,1542.0,2095.0
OPM %,,14.0,16.0,15.0,17.0,19.0,32.0,-120.0,8.0,28.0,30.0,27.0,32.0
Other Income,,2.0,45.0,52.0,30.0,32.0,38.0,469.0,326.0,68.0,157.0,173.0,292.0
Interest,,78.0,84.0,81.0,84.0,128.0,482.0,498.0,498.0,572.0,791.0,810.0,733.0
Depreciation,,117.0,115.0,138.0,154.0,191.0,542.0,575.0,614.0,753.0,1219.0,1280.0,1270.0
Profit before tax,,12.0,145.0,153.0,194.0,299.0,90.0,-939.0,-681.0,-209.0,-44.0,-374.0,384.0
Tax %,,7.0,32.0,37.0,36.0,37.0,70.0,-20.0,-28.0,61.0,-26.0,-25.0,13.0
Net Profit,,12.0,99.0,96.0,124.0,189.0,27.0,-748.0,-489.0,-336.0,-33.0,-281.0,333.0
EPS in Rs,,2.86,19.58,19.08,24.84,37.81,4.95,-123.07,-80.04,-34.21,-3.26,-28.47,34.02
Dividend Payout %,,33.0,10.0,10.0,8.0,5.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
Sales Growth %,Sales,9.57,25.21,14.59,10.13,32.19,10.66,-91.8,374.77,182.13,62.83,-5.36,14.99
Material Cost %,Expenses,7.0,7.0,7.0,7.0,8.0,8.0,9.0,0.0,0.0,0.0,0.0,7.0
Manufacturing Cost %,Expenses,42.0,41.0,41.0,40.0,38.0,40.0,96.0,60.0,51.0,51.0,52.0,0.0
Employee Cost %,Expenses,10.0,10.0,10.0,11.0,11.0,12.0,78.0,20.0,12.0,11.0,12.0,11.0
Other Cost %,Expenses,27.0,26.0,27.0,25.0,24.0,9.0,37.0,12.0,10.0,9.0,9.0,51.0
Exceptional items,Other Income,-5.0,-1.0,-5.0,0.0,2.0,5.0,9.0,18.0,3.0,20.0,21.0,108.0
Other income normal,Other Income,7.0,46.0,57.0,30.0,30.0,33.0,460.0,308.0,66.0,136.0,152.0,184.0
Minority share,Net Profit,1.0,-1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Exceptional items AT,Net Profit,-3.0,-1.0,-3.0,0.0,1.0,3.0,9.0,18.0,3.0,20.0,21.0,97.0
Profit excl Excep,Net Profit,14.0,99.0,99.0,124.0,188.0,23.0,-758.0,-507.0,-339.0,-53.0,-302.0,235.0
Profit for PE,Net Profit,16.0,99.0,98.0,124.0,189.0,24.0,-757.0,-506.0,-338.0,-52.0,-301.0,237.0
Profit for EPS,Net Profit,13.0,98.0,96.0,125.0,190.0,27.0,-748.0,-488.0,-335.0,-32.0,-280.0,334.0
Profit Growth %,Net Profit,-70.0,536.0,-0.0,26.0,52.0,-87.0,-3272.0,33.0,33.0,85.0,-480.0,179.0
