,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,303.0,1468.0,1843.0,2021.0
Expenses,,256.0,1224.0,1524.0,1682.0
Operating Profit,,47.0,244.0,319.0,339.0
OPM %,,16.0,17.0,17.0,17.0
Other Income,,-0.0,7.0,13.0,32.0
Interest,,4.0,17.0,37.0,54.0
Depreciation,,2.0,44.0,59.0,83.0
Profit before tax,,41.0,189.0,236.0,233.0
Tax %,,29.0,25.0,25.0,27.0
Net Profit,,29.0,142.0,176.0,170.0
EPS in Rs,,2.57,3.19,3.08,4.35
Dividend Payout %,,0.0,0.0,0.0,73.0
Sales Growth %,Sales,384.24,25.51,9.66,19.69
Material Cost %,Expenses,52.0,51.0,53.0,57.0
Manufacturing Cost %,Expenses,8.0,7.0,6.0,0.0
Employee Cost %,Expenses,5.0,5.0,6.0,5.0
Other Cost %,Expenses,19.0,20.0,18.0,24.0
Exceptional items,Other Income,0.0,-0.0,1.0,0.0
Other income normal,Other Income,7.0,13.0,31.0,133.0
Exceptional items AT,Net Profit,0.0,-0.0,1.0,0.0
Profit excl Excep,Net Profit,142.0,176.0,169.0,241.0
Profit for PE,Net Profit,142.0,176.0,169.0,241.0
Profit for EPS,Net Profit,142.0,176.0,170.0,241.0
Profit Growth %,Net Profit,385.0,24.0,-4.0,42.0
