,parent_line_item,Mar 2012,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4124.0,6187.0,6866.0,7531.0
Expenses,,42.0,6.0,278.0,663.0,1309.0,153.0,2.0,36.0,4083.0,5558.0,6614.0,7613.0
Operating Profit,,-42.0,-6.0,-278.0,-663.0,-1309.0,-153.0,-2.0,-22.0,40.0,629.0,253.0,-83.0
OPM %,,-1670.0,-156.0,1.0,10.0,4.0,-1.0,,,,,,
Other Income,,168.0,-155.0,0.0,0.0,0.0,2.0,2.0,579.0,-255.0,-46.0,10.0,8.0
Interest,,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,49.0,114.0,94.0,74.0
Depreciation,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,17.0,16.0,14.0
Profit before tax,,120.0,-161.0,-278.0,-663.0,-1308.0,-153.0,0.0,554.0,-273.0,453.0,152.0,-163.0
Tax %,,30.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,47.0,2.0
Net Profit,,84.0,-161.0,-278.0,-663.0,-1308.0,-153.0,0.0,554.0,-286.0,424.0,81.0,-166.0
EPS in Rs,,0.33,-1.17,-2.01,-4.8,-9.46,-1.11,0.0,4.01,-2.06,3.08,0.61,-1.2
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sales Growth %,Sales,,,,,,,,13890.0,29376.7,50.04,10.98,9.67
Material Cost %,Expenses,,,,,,,0.0,-274.0,83.0,76.0,79.0,78.0
Manufacturing Cost %,Expenses,,,,,,,0.0,343.0,0.0,11.0,14.0,0.0
Employee Cost %,Expenses,,,,,,,990.0,46.0,2.0,2.0,2.0,2.0
Other Cost %,Expenses,,,,,,,780.0,141.0,14.0,2.0,2.0,22.0
Exceptional items,Other Income,70.7,0.0,0.0,0.0,0.0,0.0,1.28,578.8,-259.09,-50.01,0.0,0.0
Other income normal,Other Income,97.12,-155.07,0.22,0.04,0.49,1.57,0.44,0.2,4.45,4.47,9.66,8.02
Minority share,Net Profit,-41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0
Exceptional items AT,Net Profit,71.0,0.0,0.0,0.0,0.0,0.0,1.0,579.0,-245.0,-47.0,0.0,0.0
Profit excl Excep,Net Profit,13.0,-161.0,-278.0,-663.0,-1308.0,-153.0,-1.0,-25.0,-41.0,471.0,81.0,-166.0
Profit for PE,Net Profit,7.0,-161.0,-278.0,-663.0,-1308.0,-153.0,-1.0,-25.0,-41.0,473.0,84.0,-165.0
Profit for EPS,Net Profit,43.0,-161.0,-278.0,-663.0,-1308.0,-153.0,0.0,554.0,-285.0,426.0,84.0,-165.0
Profit Growth %,Net Profit,,,-72.0,-139.0,-97.0,88.0,99.0,-1848.0,-66.0,1254.0,-82.0,-296.0
