,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,4311.0,4050.0,3447.0,3469.0,3873.0,4425.0,3703.0,4995.0,5794.0,5047.0,5606.0,5780.0
Expenses,,3396.0,2688.0,2667.0,2793.0,3160.0,3283.0,2544.0,3465.0,4237.0,3624.0,3841.0,3594.0
Operating Profit,,916.0,1362.0,780.0,677.0,713.0,1143.0,1159.0,1530.0,1557.0,1423.0,1765.0,2185.0
OPM %,,21.0,34.0,23.0,20.0,18.0,26.0,31.0,31.0,27.0,28.0,31.0,38.0
Other Income,,395.0,193.0,185.0,196.0,292.0,277.0,204.0,175.0,184.0,283.0,225.0,475.0
Interest,,239.0,195.0,174.0,180.0,362.0,367.0,22.0,161.0,185.0,171.0,187.0,173.0
Depreciation,,801.0,542.0,566.0,610.0,658.0,671.0,628.0,635.0,753.0,889.0,951.0,1064.0
Profit before tax,,270.0,818.0,226.0,82.0,-16.0,382.0,713.0,909.0,803.0,645.0,852.0,1423.0
Tax %,,28.0,4.0,19.0,-273.0,304.0,12.0,2.0,5.0,-8.0,-5.0,1.0,5.0
Net Profit,,195.0,782.0,182.0,306.0,-63.0,336.0,696.0,865.0,870.0,679.0,844.0,1353.0
EPS in Rs,,4.19,16.78,3.92,6.58,-1.35,7.22,14.94,18.57,18.68,14.58,18.11,29.05
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,2.0,3.0,36.0,15.0
Sales Growth %,Sales,,-6.06,-14.88,0.64,11.63,14.27,-16.32,34.88,16.0,-12.9,11.08,3.1
Manufacturing Cost %,Expenses,66.0,52.0,64.0,65.0,66.0,58.0,54.0,59.0,60.0,59.0,56.0,0.0
Employee Cost %,Expenses,10.0,12.0,12.0,14.0,12.0,11.0,13.0,10.0,8.0,10.0,10.0,10.0
Other Cost %,Expenses,3.0,2.0,1.0,2.0,4.0,6.0,1.0,1.0,4.0,3.0,3.0,52.0
Exceptional items,Other Income,124.0,12.0,9.0,47.0,114.0,96.0,5.0,6.0,6.0,50.0,9.0,0.0
Other income normal,Other Income,271.0,181.0,177.0,149.0,178.0,181.0,199.0,170.0,178.0,233.0,216.0,475.0
Exceptional items AT,Net Profit,89.0,11.0,6.0,13.0,43.0,83.0,5.0,5.0,5.0,47.0,9.0,0.0
Profit excl Excep,Net Profit,106.0,770.0,176.0,294.0,-106.0,253.0,691.0,860.0,865.0,632.0,835.0,1353.0
Profit for PE,Net Profit,106.0,770.0,176.0,294.0,-106.0,253.0,691.0,860.0,865.0,632.0,835.0,1353.0
Profit for EPS,Net Profit,195.0,782.0,182.0,306.0,-63.0,336.0,696.0,865.0,870.0,679.0,844.0,1353.0
Profit Growth %,Net Profit,,630.0,-77.0,67.0,-136.0,339.0,173.0,24.0,1.0,-27.0,32.0,62.0
