,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,2441.0,1943.0,2229.0,2783.0,3442.0,3754.0,2110.0,2561.0,3310.0,3097.0,4039.0,5190.0
Expenses,,1823.0,1499.0,1809.0,2263.0,2769.0,2639.0,1435.0,2028.0,2941.0,2820.0,3744.0,4880.0
Operating Profit,,617.0,444.0,420.0,520.0,673.0,1115.0,675.0,533.0,370.0,277.0,294.0,310.0
OPM %,,25.0,23.0,19.0,19.0,20.0,30.0,32.0,21.0,11.0,9.0,7.0,6.0
Other Income,,15.0,36.0,52.0,50.0,73.0,72.0,81.0,84.0,92.0,121.0,124.0,193.0
Interest,,188.0,164.0,150.0,198.0,236.0,682.0,601.0,308.0,249.0,246.0,196.0,137.0
Depreciation,,72.0,60.0,64.0,54.0,62.0,72.0,79.0,72.0,68.0,78.0,90.0,106.0
Profit before tax,,372.0,257.0,258.0,317.0,448.0,433.0,75.0,237.0,145.0,74.0,133.0,260.0
Tax %,,34.0,46.0,38.0,32.0,34.0,35.0,17.0,27.0,28.0,34.0,29.0,26.0
Net Profit,,244.0,138.0,161.0,217.0,297.0,282.0,62.0,173.0,104.0,49.0,95.0,193.0
EPS in Rs,,21.52,12.48,14.8,20.27,27.76,26.32,5.82,16.19,9.74,4.59,8.86,18.09
Dividend Payout %,,29.0,14.0,15.0,31.0,22.0,24.0,53.0,16.0,27.0,58.0,34.0,33.0
Sales Growth %,Sales,12.29,-20.38,14.71,24.85,23.68,9.06,-43.8,21.4,29.24,-6.44,30.41,28.52
Material Cost %,Expenses,-5.0,-24.0,-24.0,12.0,-1.0,-1.0,-11.0,2.0,10.0,-0.0,10.0,16.0
Manufacturing Cost %,Expenses,62.0,79.0,86.0,51.0,63.0,57.0,58.0,57.0,57.0,65.0,59.0,54.0
Employee Cost %,Expenses,8.0,9.0,8.0,7.0,7.0,7.0,8.0,10.0,9.0,11.0,10.0,10.0
Other Cost %,Expenses,9.0,13.0,12.0,11.0,11.0,8.0,12.0,11.0,13.0,15.0,14.0,14.0
Exceptional items,Other Income,0.0,-1.0,-0.0,1.0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,2.0
Other income normal,Other Income,15.0,37.0,52.0,49.0,73.0,71.0,80.0,49.0,92.0,121.0,124.0,191.0
Minority share,Net Profit,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exceptional items AT,Net Profit,0.0,-1.0,-0.0,1.0,0.0,0.0,0.0,26.0,0.0,-0.0,-0.0,0.0
Profit excl Excep,Net Profit,244.0,139.0,161.0,216.0,297.0,281.0,62.0,147.0,104.0,49.0,95.0,193.0
Profit for PE,Net Profit,238.0,139.0,161.0,216.0,297.0,281.0,62.0,147.0,104.0,49.0,95.0,193.0
Profit for EPS,Net Profit,238.0,138.0,161.0,217.0,297.0,282.0,62.0,173.0,104.0,49.0,95.0,193.0
Profit Growth %,Net Profit,1.0,-42.0,16.0,35.0,37.0,-5.0,-78.0,137.0,-29.0,-53.0,92.0,104.0
