,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1276.0,1449.0,1580.0,1916.0,2462.0,2237.0,2516.0,3948.0,6918.0,6070.0,7540.0,9838.0
Expenses,,1022.0,1144.0,1256.0,1505.0,1960.0,1803.0,2001.0,3199.0,5582.0,4588.0,5514.0,7216.0
Operating Profit,,254.0,304.0,324.0,412.0,502.0,434.0,515.0,748.0,1336.0,1482.0,2026.0,2622.0
OPM %,,20.0,21.0,20.0,21.0,20.0,19.0,20.0,19.0,19.0,24.0,27.0,27.0
Other Income,,-2.0,13.0,13.0,12.0,9.0,41.0,21.0,19.0,-16.0,-68.0,10.0,128.0
Interest,,18.0,20.0,27.0,33.0,50.0,55.0,45.0,50.0,90.0,109.0,116.0,134.0
Depreciation,,31.0,33.0,39.0,51.0,59.0,85.0,94.0,109.0,128.0,143.0,182.0,251.0
Profit before tax,,203.0,264.0,271.0,340.0,402.0,336.0,397.0,607.0,1102.0,1161.0,1739.0,2365.0
Tax %,,23.0,33.0,28.0,31.0,31.0,17.0,27.0,25.0,26.0,25.0,26.0,27.0
Net Profit,,156.0,178.0,195.0,234.0,277.0,279.0,288.0,455.0,811.0,875.0,1288.0,1737.0
EPS in Rs,,16.29,18.08,20.61,24.37,28.91,29.55,30.54,48.77,83.68,92.38,133.65,185.38
Dividend Payout %,,21.0,25.0,24.0,25.0,24.0,20.0,20.0,15.0,10.0,9.0,7.0,6.0
Sales Growth %,Sales,18.9,13.5,9.07,21.27,28.47,-9.11,12.44,56.92,75.26,-12.27,24.23,30.47
Material Cost %,Expenses,56.93,60.52,57.37,55.51,56.91,54.31,53.54,58.96,62.77,52.66,51.82,49.74
Manufacturing Cost %,Expenses,6.01,2.72,2.89,2.77,2.68,3.02,2.69,2.27,1.86,2.39,2.54,0.0
Employee Cost %,Expenses,6.81,6.63,7.2,7.44,7.5,9.25,9.18,7.35,5.11,7.15,7.97,8.59
Other Cost %,Expenses,10.34,9.12,12.03,12.81,12.52,14.02,14.14,12.47,10.96,13.38,10.8,15.02
Minority share,Net Profit,-9.0,-14.0,-8.0,-13.0,-15.0,-11.0,-12.0,-14.0,-54.0,-39.0,-78.0,-59.0
Exceptional items AT,Net Profit,-8.0,1.0,4.0,2.0,-3.0,0.0,0.0,-1.0,-32.0,-82.0,-49.0,0.0
Profit excl Excep,Net Profit,164.0,176.0,191.0,232.0,279.0,279.0,288.0,456.0,843.0,957.0,1337.0,1737.0
Profit for PE,Net Profit,155.0,162.0,183.0,219.0,264.0,267.0,276.0,442.0,787.0,914.0,1255.0,1678.0
Profit for EPS,Net Profit,147.0,164.0,187.0,221.0,262.0,267.0,276.0,441.0,757.0,836.0,1209.0,1678.0
Profit Growth %,Net Profit,24.0,5.0,13.0,20.0,21.0,1.0,3.0,60.0,78.0,16.0,37.0,34.0
