,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,6872.0,8240.0,5575.0,5081.0,5199.0,2015.0,3035.0,6302.0
Expenses,,6330.0,7582.0,5246.0,5458.0,6102.0,3139.0,3043.0,6038.0
Operating Profit,,542.0,658.0,329.0,-377.0,-903.0,-1124.0,-7.0,264.0
OPM %,,8.0,8.0,6.0,-7.0,-17.0,-56.0,-0.0,4.0
Other Income,,13.0,209.0,303.0,158.0,95.0,111.0,85.0,40.0
Interest,,23.0,100.0,220.0,105.0,87.0,151.0,234.0,127.0
Depreciation,,3.0,8.0,14.0,17.0,15.0,15.0,17.0,14.0
Profit before tax,,529.0,759.0,398.0,-340.0,-910.0,-1179.0,-172.0,163.0
Tax %,,15.0,16.0,24.0,-15.0,1.0,-0.0,22.0,47.0
Net Profit,,451.0,638.0,304.0,-290.0,-916.0,-1175.0,-211.0,86.0
EPS in Rs,,281.98,39.85,19.34,-17.8,-47.94,-61.65,-9.09,3.49
Dividend Payout %,,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
Sales Growth %,Sales,19.92,-32.34,-8.87,2.33,-61.24,50.64,107.61,19.77
Material Cost %,Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
Manufacturing Cost %,Expenses,88.0,87.0,99.0,109.0,138.0,90.0,90.0,0.0
Employee Cost %,Expenses,2.0,4.0,4.0,4.0,12.0,7.0,3.0,2.0
Other Cost %,Expenses,2.0,2.0,5.0,4.0,6.0,3.0,3.0,32.0
Exceptional items,Other Income,-0.0,0.0,-0.0,1.0,0.0,0.0,1.0,-611.0
Other income normal,Other Income,210.0,303.0,158.0,94.0,111.0,85.0,39.0,204.0
Minority share,Net Profit,1.0,6.0,5.0,6.0,5.0,-1.0,-4.0,-14.0
Exceptional items AT,Net Profit,-0.0,0.0,-0.0,1.0,0.0,0.0,1.0,-570.0
Profit excl Excep,Net Profit,639.0,304.0,-290.0,-917.0,-1175.0,-211.0,85.0,274.0
Profit for PE,Net Profit,639.0,310.0,-285.0,-910.0,-1170.0,-212.0,81.0,260.0
Profit for EPS,Net Profit,639.0,310.0,-285.0,-909.0,-1170.0,-212.0,81.0,-309.0
Profit Growth %,Net Profit,41.0,-52.0,-192.0,-219.0,-28.0,82.0,138.0,222.0
