,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,597.0,507.0,380.0,435.0,459.0,515.0,594.0,797.0,872.0,1001.0,1279.0,1856.0
Expenses,,581.0,498.0,369.0,424.0,429.0,477.0,523.0,701.0,739.0,829.0,1043.0,1521.0
Operating Profit,,16.0,9.0,11.0,10.0,30.0,38.0,71.0,97.0,134.0,171.0,235.0,335.0
OPM %,,2.8,1.8,2.8,2.4,7.0,7.0,12.0,12.0,15.0,17.0,18.0,18.0
Other Income,,24.0,20.0,20.0,16.0,9.0,27.0,16.0,24.0,21.0,16.0,24.0,21.0
Interest,,6.0,7.0,6.0,9.0,6.0,10.0,9.0,7.0,4.0,4.0,8.0,8.0
Depreciation,,29.0,29.0,28.0,27.0,26.0,22.0,22.0,22.0,21.0,21.0,20.0,23.0
Profit before tax,,6.0,-7.0,-4.0,-10.0,7.0,33.0,56.0,92.0,130.0,162.0,232.0,326.0
Tax %,,114.0,33.0,24.0,51.0,57.0,9.0,20.0,23.0,25.0,27.0,25.0,27.0
Net Profit,,-1.0,-9.0,-4.0,-14.0,3.0,30.0,45.0,70.0,97.0,118.0,175.0,239.0
EPS in Rs,,-0.05,-0.55,-0.27,-0.87,0.2,1.94,2.92,4.53,6.2,7.58,11.18,15.28
Dividend Payout %,,-1059.0,-110.0,-135.0,-41.0,194.0,23.0,17.0,15.0,16.0,15.0,11.0,11.0
Sales Growth %,Sales,24.41,-15.18,-25.03,14.46,5.55,12.17,15.28,34.34,9.39,14.7,27.81,45.16
Material Cost %,Expenses,75.0,72.0,68.0,71.0,70.0,70.0,67.0,71.0,68.0,65.0,65.0,67.0
Manufacturing Cost %,Expenses,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0
Employee Cost %,Expenses,11.0,13.0,17.0,16.0,14.0,14.0,13.0,10.0,10.0,11.0,10.0,9.0
Other Cost %,Expenses,8.0,10.0,10.0,7.0,7.0,6.0,6.0,4.0,4.0,4.0,5.0,4.0
Exceptional items,Other Income,0.02,-0.31,-0.25,0.0,-0.2,14.44,7.28,7.58,1.41,-0.03,-0.06,-0.06
Other income normal,Other Income,24.45,20.19,20.22,15.88,9.16,12.8,9.22,16.71,19.69,16.21,23.65,21.3
Exceptional items AT,Net Profit,-0.0,-0.0,-0.0,0.0,-0.0,11.0,6.0,6.0,1.0,-0.0,-0.0,-0.0
Profit excl Excep,Net Profit,-1.0,-9.0,-4.0,-14.0,3.0,19.0,39.0,65.0,96.0,118.0,175.0,239.0
Profit for PE,Net Profit,-1.0,-9.0,-4.0,-14.0,3.0,19.0,39.0,65.0,96.0,118.0,175.0,239.0
Profit for EPS,Net Profit,-1.0,-9.0,-4.0,-14.0,3.0,30.0,45.0,70.0,97.0,118.0,175.0,239.0
Profit Growth %,Net Profit,-104.0,-1020.0,54.0,-240.0,122.0,490.0,106.0,64.0,48.0,24.0,48.0,37.0
