,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1102.0,1324.0,1135.0,1858.0,1832.0,1689.0,1814.0,2243.0,3503.0,5107.0,4377.0
Expenses,,1052.0,1249.0,1071.0,1688.0,1672.0,1570.0,1674.0,2098.0,3239.0,4639.0,3987.0
Operating Profit,,50.0,74.0,64.0,170.0,160.0,119.0,140.0,145.0,264.0,467.0,390.0
OPM %,,5.0,6.0,6.0,9.0,9.0,7.0,8.0,6.0,8.0,9.0,9.0
Other Income,,44.0,46.0,48.0,15.0,-129.0,25.0,22.0,26.0,70.0,58.0,57.0
Interest,,50.0,58.0,61.0,70.0,97.0,103.0,100.0,116.0,133.0,137.0,123.0
Depreciation,,17.0,22.0,25.0,29.0,36.0,37.0,36.0,35.0,38.0,43.0,47.0
Profit before tax,,27.0,39.0,26.0,86.0,-102.0,3.0,26.0,20.0,162.0,345.0,277.0
Tax %,,28.0,31.0,48.0,15.0,-32.0,-8.0,54.0,44.0,41.0,35.0,30.0
Net Profit,,20.0,29.0,13.0,75.0,-65.0,12.0,21.0,26.0,113.0,249.0,194.0
EPS in Rs,,0.59,0.78,0.38,2.24,-1.88,0.44,0.64,0.81,2.83,6.24,4.8
Dividend Payout %,,28.0,21.0,44.0,10.0,-3.0,18.0,16.0,19.0,18.0,12.0,16.0
Sales Growth %,Sales,,20.06,-14.23,63.69,-1.42,-7.8,7.44,23.64,56.15,45.78,-14.28
Material Cost %,Expenses,73.0,72.0,67.0,70.0,67.0,70.0,60.0,72.0,76.0,77.0,81.0
Manufacturing Cost %,Expenses,11.0,11.0,13.0,11.0,14.0,12.0,11.0,12.0,9.0,7.0,2.0
Employee Cost %,Expenses,7.0,7.0,9.0,6.0,7.0,7.0,7.0,6.0,4.0,3.0,4.0
Other Cost %,Expenses,4.0,4.0,6.0,4.0,4.0,4.0,14.0,4.0,4.0,3.0,3.0
Exceptional items,Other Income,18.0,18.0,2.0,3.0,-149.0,-0.0,0.0,0.0,2.0,9.0,-3.0
Other income normal,Other Income,26.0,28.0,46.0,12.0,20.0,25.0,22.0,26.0,68.0,49.0,60.0
Profit from Associates,Net Profit,0.0,2.0,-1.0,3.0,4.0,8.0,8.0,14.0,17.0,23.0,0.0
Minority share,Net Profit,-1.0,-3.0,0.0,0.0,0.0,2.0,-0.0,0.0,0.0,0.0,2.0
Exceptional items AT,Net Profit,12.0,10.0,1.0,2.0,-142.0,-0.0,0.0,0.0,1.0,7.0,-2.0
Profit excl Excep,Net Profit,7.0,19.0,12.0,73.0,77.0,12.0,20.0,26.0,112.0,242.0,196.0
Profit for PE,Net Profit,7.0,17.0,12.0,73.0,77.0,14.0,20.0,26.0,112.0,242.0,197.0
Profit for EPS,Net Profit,19.0,26.0,13.0,75.0,-65.0,14.0,20.0,26.0,113.0,249.0,195.0
Profit Growth %,Net Profit,,142.0,-30.0,510.0,4.0,-81.0,43.0,27.0,333.0,116.0,-19.0
