,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,2447.0,2396.0,2755.0,3103.0,3564.0,3578.0,3005.0,3650.0,4289.0,4992.0,5457.0,6105.0
Expenses,,2108.0,2048.0,2350.0,2630.0,3040.0,3079.0,2618.0,3144.0,3712.0,4302.0,4672.0,5213.0
Operating Profit,,339.0,348.0,404.0,473.0,524.0,499.0,387.0,506.0,577.0,691.0,785.0,892.0
OPM %,,14.0,15.0,15.0,15.0,15.0,14.0,13.0,14.0,13.0,14.0,14.0,15.0
Other Income,,4.0,22.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,14.0,5.0,9.0
Interest,,104.0,96.0,90.0,88.0,99.0,108.0,98.0,92.0,105.0,101.0,92.0,80.0
Depreciation,,87.0,99.0,116.0,137.0,146.0,156.0,151.0,157.0,171.0,173.0,170.0,183.0
Profit before tax,,150.0,174.0,201.0,250.0,282.0,237.0,142.0,259.0,305.0,431.0,529.0,638.0
Tax %,,25.0,19.0,25.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,25.0,25.0
Net Profit,,113.0,142.0,151.0,185.0,209.0,175.0,106.0,192.0,224.0,316.0,394.0,477.0
EPS in Rs,,2.61,3.29,3.25,3.99,4.48,3.74,2.29,4.16,4.84,6.84,8.55,9.5
Dividend Payout %,,10.0,8.0,10.0,10.0,10.0,13.0,15.0,12.0,13.0,15.0,15.0,16.0
Sales Growth %,Sales,13.52,-2.09,14.99,12.64,14.86,0.4,-16.02,21.46,17.52,16.39,9.3,11.88
Material Cost %,Expenses,70.0,71.0,70.0,69.0,70.0,70.0,70.0,71.0,72.0,72.0,71.0,71.0
Manufacturing Cost %,Expenses,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0
Employee Cost %,Expenses,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Other Cost %,Expenses,6.0,5.0,6.0,6.0,5.0,6.0,7.0,6.0,5.0,5.0,5.0,9.0
Exceptional items,Other Income,0.07,0.58,0.21,0.53,0.29,0.0,0.0,0.42,1.3,11.09,1.01,0.0
Other income normal,Other Income,3.51,21.06,2.02,1.62,2.93,2.27,3.82,2.54,2.44,3.06,4.26,9.2
Minority share,Net Profit,-4.0,-4.0,-4.0,-5.0,-6.0,-6.0,-2.0,-4.0,-5.0,-5.0,-6.0,-8.0
Exceptional items AT,Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0
Profit excl Excep,Net Profit,113.0,141.0,151.0,185.0,208.0,175.0,106.0,192.0,223.0,308.0,394.0,477.0
Profit for PE,Net Profit,110.0,138.0,147.0,180.0,203.0,169.0,103.0,188.0,218.0,302.0,387.0,469.0
Profit for EPS,Net Profit,110.0,138.0,147.0,180.0,203.0,169.0,103.0,188.0,219.0,310.0,388.0,469.0
Profit Growth %,Net Profit,16.0,26.0,7.0,22.0,13.0,-16.0,-39.0,81.0,16.0,39.0,28.0,21.0
