,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,4561.0,4112.0,3882.0,2066.0,2488.0,2154.0,2097.0,2688.0,3268.0,3225.0,3474.0,3691.0
Expenses,,3845.0,3771.0,3493.0,2253.0,2512.0,1922.0,1814.0,2304.0,2754.0,2627.0,2877.0,2986.0
Operating Profit,,717.0,341.0,389.0,-188.0,-24.0,232.0,284.0,384.0,513.0,599.0,597.0,705.0
OPM %,,16.0,8.0,10.0,-9.0,-1.0,11.0,14.0,14.0,16.0,19.0,17.0,19.0
Other Income,,-63.0,32.0,120.0,77.0,17.0,537.0,24.0,75.0,40.0,53.0,57.0,46.0
Interest,,522.0,547.0,564.0,92.0,114.0,74.0,57.0,42.0,30.0,25.0,30.0,20.0
Depreciation,,418.0,308.0,300.0,60.0,61.0,64.0,68.0,70.0,67.0,77.0,98.0,116.0
Profit before tax,,-287.0,-481.0,-355.0,-264.0,-181.0,630.0,183.0,346.0,455.0,550.0,527.0,615.0
Tax %,,-12.0,-11.0,1.0,2.0,-126.0,33.0,20.0,16.0,23.0,23.0,23.0,24.0
Net Profit,,-251.0,-428.0,-358.0,-268.0,49.0,421.0,152.0,291.0,351.0,424.0,406.0,466.0
EPS in Rs,,-8.31,-14.1,-11.78,-8.9,1.57,13.74,4.91,9.56,11.49,13.91,13.37,15.29
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,22.0,20.0,22.0,25.0
Sales Growth %,Sales,11.96,-9.84,-5.6,-46.79,20.45,-13.44,-2.63,28.17,21.57,-1.3,7.72,6.24
Material Cost %,Expenses,36.0,48.0,47.0,62.0,61.0,57.0,56.0,55.0,55.0,51.0,50.0,51.0
Manufacturing Cost %,Expenses,29.0,24.0,23.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0
Employee Cost %,Expenses,9.0,9.0,10.0,12.0,11.0,14.0,14.0,12.0,11.0,13.0,14.0,13.0
Other Cost %,Expenses,11.0,11.0,10.0,27.0,21.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0
Exceptional items,Other Income,-100.0,-0.0,37.0,34.0,-4.0,499.0,-4.0,32.0,1.0,0.0,2.0,-18.0
Other income normal,Other Income,37.0,32.0,83.0,43.0,21.0,37.0,28.0,43.0,39.0,52.0,56.0,64.0
Profit from Associates,Net Profit,0.0,-2.0,2.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Minority share,Net Profit,-2.0,-1.0,-1.0,-3.0,-1.0,-2.0,-2.0,-0.0,-0.0,-0.0,1.0,-0.0
Exceptional items AT,Net Profit,-95.0,-0.0,37.0,34.0,-3.0,11.0,1.0,27.0,1.0,0.0,2.0,9.0
Profit excl Excep,Net Profit,-156.0,-428.0,-395.0,-302.0,53.0,410.0,151.0,264.0,350.0,424.0,404.0,457.0
Profit for PE,Net Profit,-158.0,-429.0,-396.0,-305.0,51.0,408.0,149.0,264.0,349.0,424.0,405.0,457.0
Profit for EPS,Net Profit,-253.0,-430.0,-359.0,-271.0,48.0,419.0,150.0,291.0,350.0,424.0,407.0,466.0
Profit Growth %,Net Profit,-1538.0,-172.0,8.0,23.0,117.0,695.0,-63.0,77.0,32.0,21.0,-4.0,13.0
