,parent_line_item,Mar 2020,Mar 2021
Sales,,299.0,405.0
Expenses,,272.0,367.0
Operating Profit,,28.0,38.0
OPM %,,9.0,9.0
Other Income,,3.0,3.0
Interest,,2.0,2.0
Depreciation,,13.0,13.0
Profit before tax,,15.0,26.0
Tax %,,30.0,25.0
Net Profit,,11.0,20.0
EPS in Rs,,7.74,14.48
Dividend Payout %,,0.0,0.0
Sales Growth %,Sales,,35.28
Material Cost %,Expenses,76.0,77.0
Manufacturing Cost %,Expenses,2.0,2.0
Employee Cost %,Expenses,7.0,5.0
Other Cost %,Expenses,6.0,6.0
Other income normal,Other Income,2.95,3.43
Profit excl Excep,Net Profit,11.0,20.0
Profit for PE,Net Profit,11.0,20.0
Profit for EPS,Net Profit,11.0,20.0
Profit Growth %,Net Profit,,87.0
