,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1640.0,1610.0,1730.0,2073.0,2511.0,3423.0,4802.0
Expenses,,1500.0,1433.0,1672.0,1886.0,2112.0,2931.0,3886.0
Operating Profit,,140.0,177.0,59.0,187.0,399.0,492.0,917.0
OPM %,,9.0,11.0,3.0,9.0,16.0,14.0,19.0
Other Income,,22.0,17.0,13.0,18.0,1.0,36.0,53.0
Interest,,95.0,99.0,103.0,122.0,155.0,155.0,161.0
Depreciation,,37.0,39.0,48.0,64.0,138.0,156.0,162.0
Profit before tax,,30.0,56.0,-79.0,19.0,107.0,217.0,647.0
Tax %,,26.0,32.0,-21.0,23.0,26.0,36.0,27.0
Net Profit,,22.0,38.0,-63.0,14.0,80.0,140.0,470.0
EPS in Rs,,8.06,16.23,-2.43,0.56,3.08,4.42,12.98
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sales Growth %,Sales,,-1.8,7.46,19.82,21.11,36.34,40.28
Material Cost %,Expenses,77.0,76.0,80.0,78.0,67.0,75.0,69.0
Manufacturing Cost %,Expenses,4.0,5.0,6.0,3.0,6.0,3.0,0.0
Employee Cost %,Expenses,6.0,5.0,6.0,4.0,4.0,4.0,3.0
Other Cost %,Expenses,5.0,3.0,4.0,5.0,7.0,4.0,8.0
Exceptional items,Other Income,2.0,-0.0,0.0,-1.0,-12.0,0.0,-6.0
Other income normal,Other Income,20.0,18.0,13.0,19.0,13.0,36.0,59.0
Exceptional items AT,Net Profit,2.0,-0.0,0.0,-1.0,-9.0,0.0,-4.0
Profit excl Excep,Net Profit,21.0,38.0,-63.0,15.0,88.0,140.0,474.0
Profit for PE,Net Profit,21.0,38.0,-63.0,15.0,88.0,140.0,474.0
Profit for EPS,Net Profit,22.0,38.0,-63.0,14.0,80.0,140.0,470.0
Profit Growth %,Net Profit,,85.0,-264.0,124.0,477.0,58.0,239.0
